Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Visionular,https://www.crunchbase.com/organization/visionular,"Visionular is a next-generation video encoding, processing, and streaming software and cloud solution company. We build solutions that harness the power of AI and ML using advanced codec technologies so that your video app or streaming service can delight more users. We understand that delivering video at scale with high quality requires a tremendous breadth of image science, codec development and optimization, and video streaming expertise. The kind of knowledge that can only get amassed over multiple decades of tackling successfully the biggest video challenges. For this reason, we’ve retained the brightest minds from Google, Apple, Cisco, Amazon, Brightcove, Broadcom, Nokia, Kingsoft, InterVideo, and other well-established video innovators to address the problem all video streaming engineers face- how to produce the highest quality video at the lowest bitrate. Our team wakes up excited to deliver world-leading video solutions and services in the field of video encoding, transcoding, processing, analysis, and enhancement, powered by our proprietary AI and adaptive solutions. We are proud of our engineering-driven culture. We are experts in the standards of AV1, H.265/HEVC, and H.264/AVC and we build our solutions for deployment in the data center, public cloud, and end-user devices, including PCs and mobile devices. We provide on-premise software and SDKs, and offer SaaS APIs for high volume cloud transcoding services. Visionular is a global company incorporated in the United States. As of July 2022, the time we turned 4 year old, we are proud to count more than 70 commercial customers in the United States, Africa, South America, India, South East Asia, and China that depend on us to deliver the highest quality and most capable video streaming technologies and solutions. Contact us now for a demonstration of how you can stop wasting bits and reduce your bandwidth and storage costs while improving the quality of the video that you deliver.","Cloud Computing, PaaS, SaaS, Video, Video Streaming",https://www.visionular.com/,"Los Altos, California, United States",Visionular provides cloud based video processing solutions to enterprise customers.,"29,716","176,125","46,372",348.9%,15.03%,"1,339",4.48,-58.68%,33.18%,7.52%,"374,437","-604,579",-61.75%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2018-07-01,month,2,51-100,"Zheng Zhu, Zoe Liu",,,,,
XenonStack,https://www.crunchbase.com/organization/xenonstack,"XenonStack is a Enterprise Data and AI Platform development and Solutions company for Hybrid ,Multi-Cloud Environments. Managing, Architecting and Development of Cloud Native Applications for Kubernetes.Simplifying Enterprise AI and Decision Intelligence by building Enterprise Data and AI Platform, Intelligent Distributed and Data driven Decision Platforms for Digital and Cloud Transformation.","Analytics, Artificial Intelligence, B2B, Big Data, Cloud Computing, Data Integration, Data Visualization, Enterprise Software, Machine Learning, Software",https://www.xenonstack.com,"Sunnyvale, California, United States","Simplifying Enterprise AI and Decision Intelligence by building Enterprise Data and AI Platform, Data Discovery Platform Solutions","142,454","164,813","124,297.67",79.37%,164.16%,737,1.11,1.41%,91.31%,-0.64%,"377,681","-149,795",-28.4%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2016-08-01,day,2,11-50,"Jagreet Kaur Gill, Navdeep Singh Gill",,,,,
Shipday,https://www.crunchbase.com/organization/shipday,"A cloud based software platform with Mobile Apps for managing local deliveries with state of art dispatch and delivery tracking technology. Powering both on-demand and scheduled local deliveries in 100+ countries. Direct to consumer restaurant food deliveries, grocery deliveries, pharmacy and other local e-commerce deliveries.","Cloud Computing, E-Commerce, SaaS",https://www.shipday.com,"Menlo Park, California, United States",Automating deliveries for local e-commerce,"146,090","121,567","118,345.33",130.23%,243.48%,395,1.38,-11%,71.4%,2.03%,"464,330","-294,397",-38.8%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2020-05-01,month,2,1-10,"Adem Esen, Moin Islam",,,,,
Landlord Studio,https://www.crunchbase.com/organization/landlord-studio,"For landlords who are self-managing their rental properties, our platform offers a purpose-built method of tracking income and expenses, harnessing automation including open banking to streamline payment tracking and management. Landlord Studio also assists with property management by automating workflow and centralizing information. Track Income, Deposits, Expenses, Collect Rent Online, Upload Receipts and Documents, Personal and Tenant Reminders, and Tenant Background Screening.","Android, Cloud Computing, Information Services, Information Technology, iOS, Mobile, Property Management, Software",https://www.landlordstudio.com,"Los Angeles, California, United States","Property management software that puts the power of the professionals in the palm of your hand. Desktop access & native iOS, Android apps.","163,473","100,639","72,549",50.43%,-73.11%,274,3.87,-36.14%,74.3%,-3.12%,"527,217","-123,486",-18.98%,"Greater Los Angeles Area, West Coast, Western US",Active,2016-01-01,year,1,1-10,Charles Chan,2,10,,,
Live3D | ZingFront Inc,https://www.crunchbase.com/organization/live-3d-inc,,"3D Technology, Animation, Cloud Computing, Film Production, Software, Virtual Reality",http://www.live3d.io,"San Francisco, California, United States","Live3D, the leading 3D-video software for productions, including animation, vtuber show, mini video, cartoon theater and live broadcast.","499,415","100,491","102,462",13.63%,144.9%,240,2.32,13.79%,45.52%,-27.62%,"527,744","-13,712",-2.53%,"San Francisco Bay Area, West Coast, Western US",Active,2018-01-05,day,,101-250,,,,,,
Franpos,https://www.crunchbase.com/organization/franpos,,"Cloud Computing, E-Commerce, Franchise, Software",https://www.franpos.com/,"Santa Clara, California, United States","Franpos is a cloud-based POS systems for businesses and franchises integrates eCommerce, loyalty, and marketing campaigns.","296,905","95,510","103,694.17",-22.72%,-43.39%,565,2.05,-24.84%,46.25%,-16.5%,"546,573","113,854",26.31%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2018-01-01,year,1,11-50,Subodh Gupta,,,,,
AppMaster.io,https://www.crunchbase.com/organization/appmaster-io,"AppMaster.io is a no-code platform to create and publish web and mobile applications suitable for any operating system. The platform can generate code based on the app features and design requested by the user. As a result, the user gets a complete app supported by source code and API documentation.","Cloud Computing, Information Technology, Mobile Apps, Software, Web Apps, Web Design, Web Development",https://appmaster.io,"Santa Clara, California, United States",AppMaster.io is a no-code platform to create and publish web and mobile applications with AI-generated source code.,"104,312","95,440","57,702.5",11.18%,142.31%,189,1.33,16.85%,83.7%,-7.09%,"565,148","-22,471",-3.82%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2020-01-01,year,1,11-50,Oleg Sotnikov,,,,,
Shells,https://www.crunchbase.com/organization/shells,"Shells is a cloud desktop experience anywhere, anytime, with any device.","Cloud Computing, Virtual Desktop",https://shells.com,"Los Angeles, California, United States","Shells is a cloud desktop experience anywhere, anytime, with any device.","58,934","92,340","96,967.67",16.3%,-42.94%,416,1.49,-28.82%,74.97%,8.2%,"577,373","-40,694",-6.58%,"Greater Los Angeles Area, West Coast, Western US",Active,2020-01-01,year,1,11-50,Andrew Lee,,,,,
Coder,https://www.crunchbase.com/organization/coder,"Coder is an information technology company that provides open-source tools and an enterprise platform that makes it easier to configure, secure and scale development environments. The company aims to build the best products available for developers. It was founded in 2017 and based in Austin, Texas.","Cloud Computing, Developer Platform, Developer Tools, Enterprise Software, Software",https://coder.com/,"Austin, Texas, United States","Coder provides open-source tools and an enterprise platform that makes it easier to configure, secure, and scale development environments.","7,385","91,227","66,764.33",-16.66%,-42.2%,126,1.1,-2.81%,91.68%,-1.22%,"563,810","94,547",20.15%,Southern US,Active,2017-01-01,year,4,11-50,"Ammar Bandukwala, John Andrew Entwistle, John Andrew Entwistle, Kyle Carberry",,,,,
MontyCloud,https://www.crunchbase.com/organization/montycloud,"MontyCloud helps customers manage and monitor their cloud services, automate maintenance tasks, and manage governance, compliance, and provisioning.","Cloud Computing, Information Technology",https://www.montycloud.com/,"Seattle, Washington, United States",MontyCloud helps customers manage and monitor their cloud services.,"23,016","87,982","173,177.17",90.65%,254.47%,"1,705",3.33,60.99%,23.93%,-48.46%,"578,459","-253,609",-30.48%,"Greater Seattle Area, West Coast, Western US",Active,2018-01-01,year,2,11-50,"Kannan Parthasarathy, Venkat Krishnamachari",,,,,
AlmusNet,https://www.crunchbase.com/organization/almusnet,,"Cloud Computing, Education, Software",https://almusnet.com/,"Woburn, Massachusetts, United States","AlmusNet offers software solutions that manages admissions, academics and financial solutions for universities and education institutions.","769,559","82,901","29,886.17","1,256.81%",168.56%,"1,042",3.74,119.84%,19.08%,-72.98%,"621,142","-2,228,077",-78.2%,"Greater Boston Area, East Coast, New England",Active,2016-01-01,year,,101-250,,,,72030,USD,72030
Datree,https://www.crunchbase.com/organization/datree-io,Prevent Kubernetes Misconfigurations From Reaching Production,"Cloud Computing, Developer Tools, Internet, Productivity Tools",https://www.datree.io,"San Francisco, California, United States",Datree helps Prevent Kubernetes Misconfigurations From Reaching Production,"25,809","75,588","87,729",-14.12%,-70.59%,120,1.1,-19.08%,91.7%,12.99%,"659,345","81,042",14.01%,"San Francisco Bay Area, West Coast, Western US",Active,2017-09-03,day,3,11-50,"Arthur Schmunk, Eyar Zilberman, Shimon Tolts",,,,,
swatchbook,https://www.crunchbase.com/organization/swatchbook,"Swatchbook is a cloud platform that revolutionizes the exploration, visualization, and sharing of materials. The company was founded in May 2017 by Yazan Malkosh and is based in Irvine, California, United States.","3D Technology, Cloud Computing, Fashion, Home Decor, Product Design, Retail Technology, Supply Chain Management, Textiles, Virtual Goods, Virtualization",https://swatchbook.us/,"Irvine, California, United States","swatchbook is a cloud platform that revolutionizes the exploration, visualization, and sharing of materials.","38,710","70,530","21,148.17",95.8%,-15.98%,"1,015",1.76,-59.93%,56.87%,11.73%,"689,647","-345,263",-33.36%,"Greater Los Angeles Area, West Coast, Western US",Active,2017-05-17,day,3,11-50,"Sinareet Aye, Thomas Teger, Yazan Malkosh",,,43218,USD,43218
Synder,https://www.crunchbase.com/organization/cloudbusiness,"Synder is an easy accounting platform for e-commerce businesses.CloudBusiness is a fintech software company founded in 2016. It creates solutions for accounting automation and management of business finances for small and mid-size businesses.  Synder is innovative accounting software famous for its multiple integrations and skyrocketing growth. In 2020 alone Synder processed over 1 Billion dollars worth of transactions for e-commerce and helped more than 20,000 businesses. Synder is a solution for e-commerce and SaaS businesses that work with a high volume of online transactions from different sources (Shopify, Amazon, Stripe, Square, Etsy, WooCommerce, PayPal with one-time or recurring payments). We automate bookkeeping of sales, simplify the accounts reconciliation process and facilitate more accurate and detailed reporting, including Profit&Loss and balance sheets. The high quality of our software and customer support is highlighted by the reviews of our clients. By the end of 2020, Synder reached more than 1000 5-star customer reviews on the QuickBooks App Store and top ratings on Capterra, Trustpilot, Crozdesk, and many other review platforms. Synder is a permanently growing company, which collaborates with multiple e-commerce platforms. Last year Synder connected 7 new and highly-demanded sales channels such as Amazon, Shopify, eBay, Etsy, and even more of them will be integrated next year. Moreover, every month Synder implements more and more new features: Smart Rules, Organizations for accountants who work with multiple clients, Multicurrency transactions","Accounting, Cloud Computing, E-Commerce, FinTech, SaaS, Small and Medium Businesses, Software",https://synder.com,"San Francisco, California, United States",Synder is an easy accounting platform for e-commerce businesses.,"21,766","69,242","62,431",59.03%,45.22%,456,2.53,-14.9%,66.14%,29.64%,"677,642","-187,318",-21.66%,"San Francisco Bay Area, West Coast, Western US",Active,2019-02-01,month,2,11-50,"Ilya Kisel, Michael Astreiko",,,,,
CloudZero,https://www.crunchbase.com/organization/cloudzero,"CloudZero brings the agility and culture of DevOps to cloud cost management. Engineers are the first line of defense against ballooning AWS costs, but the lack of context and visibility has made those engineers and their leaders feel they can’t take on that responsibility without it slowing them down. CloudZero empowers them to make the right buying decisions with a machine learning-platform that’s as agile and efficient as the cloud-savvy companies who use it.  Our most important features are fully-automated cost anomaly tracking & alerts, AI-driven cost mapping, streamlined and simplified graphs/charts, and automatically generated resolutions for issues that are actionable and straightforward.  Pulling reports, building dashboards, setting budgets— these are all things of the past. CloudZero’s automatically brings items that require engineers’ attention to the surface in the spaces where they already work. Meanwhile, the snappy and streamlined UI provides deep engineering context that makes it all super easy to investigate and explore. With CloudZero, organizations now have the ability to understand operational cost at an architectural level, repeatedly and in real time, enabling all stakeholders to understand, interpret and contextualize cost related information across products, teams, departments, and the organization as a whole.","Cloud Computing, Cloud Management, Developer Tools, Machine Learning, SaaS, Software",http://www.cloudzero.com,"Boston, Massachusetts, United States",CloudZero is a SaaS platform offering real-time cost anomaly and waste detection to optimize cloud costs and prevent accidental overspend.,"6,106","65,259","57,367.33",-13.63%,-83.43%,59,1.16,-1.4%,88.53%,0.39%,"704,522","103,577",17.24%,"Greater Boston Area, East Coast, New England",Active,2016-08-06,day,2,11-50,"Erik Peterson, Matt Manger",,,,,
Cameyo,https://www.crunchbase.com/organization/cameyo,"Cameyo is the secure Virtual Application Delivery (VAD) platform for any Digital Workspace. Cameyo makes it simple, cost-effective, and secure to deliver Windows and internal web applications to any device from the browser without the need for Virtual Desktops or VPNs. By enabling organizations to provide their people with secure access to the business-critical apps they need to stay productive from anywhere, Cameyo helps make remote & hybrid work, work. Hundreds of enterprises and organizations across all industries utilize Cameyo’s Digital Workspace solution to deliver Windows and internal web applications to hundreds of thousands of users worldwide. As of June 2021, Cameyo has a Net Promoter Score (NPS) of 70 with zero detractors – 100% of responding customers would recommend Cameyo to their peers. To learn more, visit cameyo.com.","Cloud Computing, Enterprise Applications, Software, Virtual Desktop, Virtual Workforce, Virtualization",https://www.cameyo.com,"Cary, North Carolina, United States","Cameyo is the Virtual Application Delivery (VAD) platform that makes it simple, cost-effective, and secure to deliver apps to any device.","541,090","65,101","133,274",-66.74%,-35.12%,776,2.31,-6.87%,44.65%,7.41%,"705,663","388,060",122.18%,"Research Triangle, East Coast, Southern US",Active,2018-01-01,day,3,11-50,"Andrew Miller, Eyal Dotan, Robb Henshaw",1,,,,
Insycle,https://www.crunchbase.com/organization/insycle,"Insycle is a New York City based company with the mission of making it easy to manage and work with data.  The modern way to organize, cleanse, and update data in multiple platforms – all in one place. Salesforce, Marketo, Intercom, Zendesk, Hubspot, Yext.","Analytics, Cloud Computing, Data Integration, Productivity Tools, SaaS, Software",https://www.insycle.com/,"New York, New York, United States","The modern way to organize, cleanse, and update data in multiple platforms – all in one place.","64,189","60,397","38,664.17",12.35%,16.89%,519,1.89,41.78%,70.18%,-11.33%,"740,489","-9,638",-1.28%,"Greater New York Area, East Coast, Northeastern US",Active,2016-10-01,month,1,11-50,Yonatan Lee,,,,,
LetsCloud,https://www.crunchbase.com/organization/letscloud,,"Cloud Computing, Data Center, Information Technology",https://letscloud.io,"San Francisco, California, United States",LetsCloud is a pioneering platform that primarily focuses on deploying cloud applications to its diverse clientele,"709,149","53,909","19,385.17",481.61%,"9,682.35%","1,663",3.09,189.58%,66.45%,-28.94%,"799,233","-1,358,576",-62.96%,"San Francisco Bay Area, West Coast, Western US",Active,2017-01-01,year,,11-50,,,,,,
ReaXium,https://www.crunchbase.com/organization/reaxium,,"Cloud Computing, Consulting, Mobile Apps, Subscription Service",https://reaxium.com,"Boca Raton, Florida, United States",ReaXium is a Technology as a Service company that creates highly customized cloud-based solutions through a managed service model.,"500,658","49,445",,-83.13%,18.02%,"2,522",1.21,-12.61%,82.76%,0.27%,"847,787","606,868",251.9%,"Greater Miami Area, East Coast, Southern US",Active,2016-01-01,year,1,11-50,Edgar Zorrilla,,,,,
GoGoMeds,https://www.crunchbase.com/organization/gogomeds,,"Cloud Computing, Health Care, Medical, Pharmaceutical",https://www.gogomeds.com,"Fort Campbell, Kentucky, United States",GoGoMeds is a pharmacy that provides FDA-approved medications and personal medical information by automation system and cloud network.,"220,443","47,857","29,394.5",40.74%,-11.48%,108,3.23,-8.21%,33.88%,473.27%,"888,201","-185,248",-17.26%,Southern US,Active,2017-01-01,year,1,101-250,Kimberly Kozlowski,,,,,
Ermetic,https://www.crunchbase.com/organization/ermetic,"Ermetic helps prevent breaches by reducing the attack surface of cloud infrastructure and enforcing least privilege at scale in the most complex environments. The Ermetic SaaS platform provides comprehensive cloud security for AWS, Azure and GCP that spans both cloud infrastructure entitlements management (CIEM) and cloud security posture management (CSPM). The company is led by proven technology entrepreneurs whose previous companies have been acquired by Microsoft, Palo Alto Networks and others. Ermetic has received funding from Accel, Forgepoint, Glilot Capital Partners, Norwest Venture Partners, Qumra Capital and Target Global. Visit us at https://ermetic.com/ and follow us on LinkedIn, Twitter and Facebook.","Cloud Computing, Cloud Management, Cloud Security, Cyber Security, Identity Management, SaaS",https://www.ermetic.com/,"Palo Alto, California, United States",Ermetic helps prevent breaches by reducing the attack surface of cloud infrastructure and enforcing least privilege.,"34,506","47,524","147,729",194.61%,-77.22%,249,2.22,28.91%,46.39%,-37.71%,"870,090","-717,921",-45.21%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2019-07-01,month,4,101-250,"Arick Goomanovsky, Michael Dolinsky, Shai Morag, Sivan Krigsman",,,,,
Skystra,https://www.crunchbase.com/organization/skystra,A next generation web services company that provides full end to end website and data hosting on the cloud.,"Cloud Computing, Cloud Infrastructure, Information Technology, Software",https://skystra.com,"Santa Monica, California, United States",Managed WordPress hosting that just works.,"615,375","46,671","25,769.67",61.06%,8.92%,171,1.66,-8.36%,92.1%,10.19%,"901,904","-280,601",-23.73%,"Greater Los Angeles Area, West Coast, Western US",Active,2018-10-16,day,,11-50,,,,,,
Easybase,https://www.crunchbase.com/organization/easybase,"Easybase is a visual database that allows teams to easily deploy scalable serverless applications without the previous barrier-to-entry of traditional back-end solutions. The user-friendly web application allows users to visually administer their data and projects. Data tables include a visual query builder, direct uploading/editing, and drag-and-drop entries. The real-time collaborative aspect of the interface functions similarly to a Google Doc, providing users with real-time data synchronization. Tables can be shared via link or directly to your team via email. Permission heuristics give table managers fine control over how collaborators can interact with table data.","Cloud Computing, Cloud Data Services, Information Technology, Internet, SaaS, Software",https://easybase.io/,"Pittsburgh, Pennsylvania, United States",Easybase is a visual database that enables teams to quickly develop scalable serverless apps without the typical back-end barriers.,"190,519","45,898","9,306.5","3,565.97%","6,810%",691,2.22,68.61%,38.96%,-42.95%,"889,457","-5,332,593",-85.7%,"Great Lakes, Northeastern US",Active,2022-04-18,day,2,1-10,"Denney Owen, Dilan Ozkaynak",,,,,
Loft Labs,https://www.crunchbase.com/organization/loft-labs,"Loft Labs enables any organization to scale self-service access to Kubernetes from 10 to 10,000 engineers. They are the maintainers of several open-source projects to support this mission, including DevSpace, vcluster, jsPolicy and kiosk. Our product is called Loft and ties these open-source projects together into a single Kubernetes platform that companies can use to provide engineers with secure but unimpeded access to cloud resources and to make the switch to truly cloud-native engineering practices.","Cloud Computing, Cloud Management, Developer Platform, Developer Tools, Information Technology, Software",https://loft.sh/,"San Francisco, California, United States","Loft Labs enables any organization to scale self-service access to Kubernetes from 10 to 10,000 engineers.","15,888","42,415","33,684.83",15.23%,-65.49%,49,1.08,-18.64%,92.33%,18.17%,"933,646","-25,573",-2.67%,"San Francisco Bay Area, West Coast, Western US",Active,2019-01-01,year,3,11-50,"Daniel Thiry, Fabian Kramm, Lukas Gentele",,,,,
Primital,https://www.crunchbase.com/organization/primital,Primital is a SaaS that serves the construction industry. It takes the complicity of running a business and simplifies it to the basics to allow more people to follow their dreams and run a business or helps business owners run their business more efficiently without the need for such high overhead. Thus saving everyone money and getting projects done on schedule since most of finishing far behind schedules.,"Cloud Computing, Construction, Mobile, SaaS, Software",https://www.primital.co,"Hubbard, Ohio, United States",SaaS for the construction industry to manage a complete business,"107,961","39,530","38,819.5",-1.41%,-49.05%,404,2.8,-11.4%,57.23%,31.17%,"575,062","-28,413",-4.71%,"Great Lakes, Midwestern US",Active,2021-01-01,year,1,1-10,Carmen Faustino,,,,,
