Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Teradata,https://www.crunchbase.com/organization/teradata,"Teradata is the connected multi-cloud data platform for enterprise analytics company. Our enterprise analytics solve business challenges from start to scale. Only Teradata gives you the flexibility to handle the massive and mixed data workloads of the future, today. Teradata offers analytic data platforms, applications, and services for data warehousing and analytic technologies. The company was founded in January 1979 and is globally headquartered in San Diego, California.","Analytics, Big Data, Business Intelligence, Cloud Data Services, Cloud Storage, Consulting, Marketing, Private Cloud, SaaS, Software",https://www.teradata.com,"San Diego, California, United States",Teradata is the connected multi-cloud data platform company. Our enterprise analytics solve business challenges from start to scale.,"83,879","517,688","459,339.33",10.26%,88.48%,720,2.9,29.29%,53.18%,-12.98%,"177,644","-5,739",-3.13%,"Greater San Diego Area, West Coast, Western US",Active,1979-01-01,day,7,5001-10000,"Carroll Reed, David Hartke, Jack Shemer, Jerold Modes, Philip Neches, Walter Muir, William Worth",12,,5373,USD,5373
Playbook,https://www.crunchbase.com/organization/playbook-com,"Playbook, as a beautiful, organized home base for all creative work. For teams, Playbook makes it easy to share, and collaborate on visual projects; and for freelancers, Playbook makes collaborating with clients and sharing their work with the world totally seamlessly. Playbook runs on advanced and intelligent technology. It automatically imports, tags, categorizes your entire media library, in minutes.","Cloud Storage, Digital Marketing, Digital Media, Graphic Design, Productivity Tools",http://playbook.com/,"San Francisco, California, United States",Playbook organize your creative files visually and intelligently.,"7,523","411,492","239,104",54.29%,67.43%,735,2.97,56.55%,42.11%,-28.86%,"200,999","-56,030",-21.8%,"San Francisco Bay Area, West Coast, Western US",Active,2020-01-03,day,2,1-10,"Alex Zirbel, Jessica Ko",,,,,
Dell EMC,https://www.crunchbase.com/organization/emc,"Dell EMC is a part of the Dell Technologies family of brands.  Dell Technologies is a unique family of businesses that provides the essential infrastructure for organizations to build their digital future, transform IT and protect their most important asset: information. The company services customers of all sizes across 180 countries – ranging from 98 percent of the Fortune 500 to individual consumers – with the industry's most comprehensive and innovative portfolio from the edge to the core to the cloud. Dell EMC is a global leader in enabling businesses and service providers to transform their operations and deliver information technology as a service (ITaaS). Fundamental to this transformation is cloud computing. Through innovative products and services, Dell EMC accelerates the journey to cloud computing, helping IT departments to store, manage, protect and analyze their most valuable asset — information — in a more agile, trusted and cost-efficient way. Dell EMC is a manufacturer of software and systems for information management and storage. Dell EMC produces a range of enterprise storage products, including hardware disk arrays and storage management software. Its flagship product, the Symmetrix, is the foundation of storage networks in many large data centers.","Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Collaboration, Data Storage, IT Infrastructure, Software, Virtualization",https://www.dellemc.com/,"Hopkinton, Massachusetts, United States",DEll EMC manufactures information management and storage software systems.,"121,101","394,040","533,833.67",-17.75%,193.85%,526,1.32,-17.56%,88.19%,9.92%,"207,187","36,662",21.5%,"Greater Boston Area, East Coast, New England",Closed,1979-01-01,year,1,10001+,Roger Marino,11,,,,
ownCloud,https://www.crunchbase.com/organization/owncloud,"ownCloud is the company behind the ownCloud project – the most downloaded open source project for data and file sync, share and view. ownCloud enables businesses to host their own, on premises or remote, cloud storage while maintaining regulatory and compliance needs. Located in Boston, Massachusetts with an international office in Germany we offer your cloud with your data – your way!","Cloud Storage, Enterprise Software, Open Source",http://owncloud.com,"Lexington, Massachusetts, United States","ownCloud, an open-source project that enables businesses to host their own cloud storage while maintaining regulatory and compliance needs.","41,013","391,141","399,264",-4.55%,-66.73%,367,2.12,-22.74%,55.79%,11.02%,"216,265","14,708",7.3%,"Greater Boston Area, East Coast, New England",Active,2011-01-01,year,3,101-250,"Frank Karlitschek, Holger Dyroff, Markus Rex",2,0,118919,USD,118919
Ubidots,https://www.crunchbase.com/organization/ubidots,"Ubidots specialized in connected hardware and software solutions to remotely monitor, control, and automate processes for healthcare clients at well funded startups and Fortune 1,000s in the American Southeast and across Latin America. Between 2012 and 2014, Ubidots expanded their support industries and accomplished countless internet connected projects across – Healthcare, Energy / Utilities, Manufacturing, Transportation, and Retail – learning the many small characteristics of IoT and Cloud enablement that digital transformation experts cannot speak to unless they have gotten their hands dirty in the field. With a strong backbone and a steadfast determination to be more than another Latin American “copy-cat,” Ubidots joined the Boston MassChallenge Accelerator in 2014, pivoting into a global product-based cloud IoT startup, gaining US venture and support and leaving behind the local services business. Since Ubidots pivot in 2014, Ubidots has become known within hardware, software, embedded engineering, and maker circles as the affordable, reliable, and most useable platform in an IoT platform ecosystem filled with strong competition.","Analytics, Cloud Storage, Data Visualization, Developer Platform, Internet of Things, Software",https://ubidots.com,"Doral, Florida, United States",Ubidots is an Internet of Things (IoT) application builder with data analytics and visualization.,"180,267","361,694","335,392.33",-25.79%,-11.44%,"1,339",2.78,-38.88%,55.55%,47.82%,"219,999","51,490",30.56%,"Greater Miami Area, East Coast, Southern US",Active,2013-06-01,month,4,11-50,"Agustin Pelaez, Gustavo Andrés Angulo, Juan Pablo Velasquez, Sergio Marin",,,,,
BitWits,https://www.crunchbase.com/organization/bitwits,,"Cloud Storage, Information Technology, Network Hardware",https://www.bitwits.com/,"Phoenix, Arizona, United States","BitWits is an information technology and services company that provides Broadband Connections, Network Installation & Cloud Storage.","1,856,000","356,280","78,141.5",516.64%,50%,21,2.25,27.18%,35%,-43.13%,"230,723","-531,278",-69.72%,"Greater Phoenix Area, Western US",Active,1997-01-01,year,,1-10,,,,,,
MinIO,https://www.crunchbase.com/organization/minio-inc,"MinIO is a high-performance, Kubernetes-native object store. Optimized for cloud-native workloads, MinIO is completely compatible with S3, inside AWS or on other public and private clouds and Kubernetes distributions. Enterprises use MinIO to deliver against ML/AI, analytics, backup and archival workloads - all from a single platform. MinIO is open sourced under the GNU AGPL v3 license.","Big Data, Cloud Storage, Data Center, Internet, Open Source, Software",https://www.min.io,"Redwood City, California, United States","MinIO offers high-performance, S3 compatible object storage for multi-cloud architectures. Software-defined, cloud-native + 100% opensource.","3,273","327,636","313,345.83",6.03%,-40.81%,441,1.66,-14.49%,70.47%,7.26%,"244,597",-902,-0.37%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2014-11-22,day,4,51-100,"Anand Babu Periasamy, Frederick Kautz, Garima Kapoor, Harshavardhana .",,,,,
Schedule360,https://www.crunchbase.com/organization/schedule360,Schedule360 offers software solutions to optimize staffing and employee scheduling for organizations.,"Cloud Storage, Software, Web Apps",https://schedule360.com/,"Grandville, Michigan, United States",Schedule360 offers software solutions to optimize staffing and employee scheduling for organizations.,"564,665","277,578","293,020.67",20.87%,98.58%,697,10.92,-7.22%,40.83%,23.35%,"264,559","-20,398",-7.16%,"Great Lakes, Midwestern US",Active,2000-01-01,year,1,11-50,Tony Torti,,,,,
Bublup,https://www.crunchbase.com/organization/bublup,"Save everything in visual folders.  Invite your friends to share and collaborate.  Find out what's bubbling up for you!  Bublup supercharges your productivity and unleashes your full creative potential because all your information is in one place, organized and displayed the way you want, whether you’re using Bublup for business, teaching, or personal use.","Cloud Storage, Education, Information Technology, Internet, Productivity Tools, Social Bookmarking, Software",https://www.bublup.com/,"Arlington, Virginia, United States",Insta-organize anything.,"152,526","234,344","189,217.83",27.49%,-38.48%,542,3.32,62.11%,52.92%,-14.19%,"308,254","-42,588",-12.14%,"Washington DC Metro Area, East Coast, Southern US",Active,2014-01-01,year,2,11-50,"Alain Cohen, Marc Cohen",,,,,
Iron Mountain,https://www.crunchbase.com/organization/iron-mountain,"Iron Mountain Incorporated provides information protection and storage, and related services for various media in North America, Europe, Latin America, and Asia Pacific. The company's services comprise records management, data protection and recovery, and information destruction. The records management services include records management program development and implementation to help customers comply with specific regulatory requirements; implementation of policy-based programs that feature secure storage for media consisting of paper, flexible retrieval access, and retention management; digital archiving and related services for secure long-term archiving of electronic records; and specialized services for vital records and regulated industries, such as healthcare, energy, and financial services. The data protection and recovery services comprise disaster preparedness, planning, support and secure, and off-site vaulting of data backup media for data recovery in the event of a disaster, human error, or virus; online backup and recovery solutions for desktop and laptop computers and remote servers; and technology escrow services to protect and manage source code and other proprietary information. The information destruction services include secure shredding services; and DataDefense, which provides automatic and intelligent encryption of sensitive PC data. The company also sells corrugated cardboard storage cartons; and provides consulting, facilities management, fulfillment, and other outsourcing services. It serves commercial, legal, banking, healthcare, accounting, insurance, entertainment, and government organizations. The company was founded in 1951 and is headquartered in Boston, Massachusetts.","Big Data, Cloud Storage, Digital Signage, Information Services, Security, Software",http://www.ironmountain.com,"Boston, Massachusetts, United States",Iron Mountain provides online backup and data protection.,"3,587","187,541","291,783.17",-28.1%,-52.49%,334,1.79,-14.21%,54.34%,-7.41%,"346,125","85,069",32.59%,"Greater Boston Area, East Coast, New England",Active,1951-01-01,year,1,10001+,Herman Knaust,,40,50653702,USD,50653702
Sortly,https://www.crunchbase.com/organization/my-things-app,"Sortly make it easy for you (or your team) to see what you have, where it it and who has it. Our innovative system enables you to VISUALLY track your items and any of their details for a more intuitive (and less maddening) way to track your things across multiple locations.  Featured by 100+ leading media outlest including ABC, FOX, The New York Times and Forbes. #1 Ranked and rated Inventory app on the App store and Google Play store. With over 5 million items organized.","Android, Business Information Systems, Cloud Storage, Collectibles, Consumer Software, Embedded Systems, Home and Garden, iOS, Mobile, Productivity Tools, SaaS, Small and Medium Businesses, Software, Web Apps",http://sortly.com/business,"Redwood City, California, United States","Sortly is the leading ""mobile centric"" inventory platform that is simplifying how businesses and consumers keep track of their stuff.","125,818","184,614","802,896.5",-91.26%,-87.21%,757,2.21,-52.77%,65.69%,167.9%,"363,549","302,927",499.7%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2013-09-23,day,1,1-10,Dhanush Balachandran,,,,,
Wasabi Technologies,https://www.crunchbase.com/organization/wasabi-technologies-inc,"Wasabi provides simple, predictable and affordable hot cloud storage for businesses all over the world. It enables organizations to store and instantly access an unlimited amount of data at 1/5th the price of the competition with no complex tiers or unpredictable egress fees. Trusted by tens of thousands of customers worldwide, Wasabi has been recognized as one of technology’s fastest-growing and most visionary companies. Created by Carbonite co-founders and cloud storage pioneers David Friend and Jeff Flowers, Wasabi has secured $495 million in funding to date and is a privately held company based in Boston.","Cloud Computing, Cloud Data Services, Cloud Storage, Database, Information Technology",http://www.wasabi.com,"Boston, Massachusetts, United States",Wasabi is a cloud storage company delivering cost effective and secure cloud storage solutions.,"1,829","179,609","351,501",-62.6%,154.77%,614,1.86,21.81%,64.14%,-18.16%,"356,445","186,178",109.34%,"Greater Boston Area, East Coast, New England",Active,2015-01-01,year,2,101-250,"David Friend, Jeff Flowers",,,1203817,USD,1203817
SpreadsheetWeb,https://www.crunchbase.com/organization/spreadsheetweb,"SpreadsheetWeb is software. That provides business users to translate their excel expertise into secure, responsive, and database-driven applications directly from their spreadsheets, providing companies with a higher level of data governance.","Cloud Storage, Information Technology, Software",https://www.spreadsheetweb.com,"Newton, Massachusetts, United States",SpreadsheetWeb is a software based company.,"669,452","126,623","132,111.83",2.92%,134.15%,288,1.33,18.77%,82.04%,-7.52%,"451,656","17,559",4.04%,"Greater Boston Area, East Coast, New England",Active,2002-01-01,year,,,,,,,,
Qumulo,https://www.crunchbase.com/organization/qumulo,"Qumulo is the file data platform for multi-cloud environments, providing unrivaled freedom, control and real-time visibility for file data at massive scale. The Qumulo experience makes file data management simple with continuous new features, a single solution for all workloads, and access to customer success experts on your schedule.","Big Data, Cloud Data Services, Cloud Storage, Data Storage, Enterprise Software, Software",http://qumulo.com,"Seattle, Washington, United States",Qumulo provides a file data platform for multi-cloud environments with large scale file data.,"3,077","123,641","104,907.83",38.92%,-10.45%,"2,219",10.39,-21.74%,38.14%,59.51%,"476,416","-97,391",-16.97%,"Greater Seattle Area, West Coast, Western US",Active,2012-01-01,year,3,251-500,"Aaron Passey, Neal Fachan, Peter Godman",,,3785186,USD,3785186
OfficeRecovery,https://www.crunchbase.com/organization/officerecovery,,"Cloud Storage, Database, Information Technology, Software",http://www.officerecovery.com,"South Pasadena, California, United States","OfficeRecovery provides software tools to restore lost emails and mailboxes, repair corrupted databases, fix damaged Office documents.","650,831","111,850","97,384.33",15.86%,-13.15%,416,1.7,-2.29%,62.24%,2.4%,"491,732","-18,707",-3.66%,"Greater Los Angeles Area, West Coast, Western US",Active,1998-01-01,year,,1-10,,,,,,
Filebase,https://www.crunchbase.com/organization/filebase-484f,"Filebase is the world’s first object storage platform powered by decentralized networks. We unify multiple networks under a single S3-compatible API to make decentralized storage accessible and easy to use. Our edge caching technology achieves industry-leading performance when writing and fetching data to and from decentralized networks, making them a highly-secure, geo-redundant alternative to traditional cloud storage at a fraction of the costs.  To learn more about Filebase, please visit https://filebase.com/.","Blockchain, Cloud Data Services, Cloud Infrastructure, Cloud Storage, Data Storage, IaaS, Information Technology",https://filebase.com,"Boston, Massachusetts, United States",S3 Compatible Object Storage Powered by Blockchain,"29,425","110,409","63,212.5",40%,-58.74%,177,1.89,-51.7%,85.4%,41.72%,"513,567","-107,120",-17.26%,"Greater Boston Area, East Coast, New England",Active,2019-01-01,year,2,1-10,"Joshua Noble, Zac Cohen",,,,,
MyLio,https://www.crunchbase.com/organization/mylio,"Mylio is the ultimate Memory Organizer. It makes it simple and fun to manage a lifetime of photos, videos, and documents, and carry all of them with you, on any device, at any time.  Mylio gathers your digital memories from all their scattered locations, then helps you find, view, sort, edit, protect, and share them. Any change to any file gets updated on every device, no cloud or internet connection necessary. Amazing.","Cloud Storage, Photo Sharing, Software",http://mylio.com,"Bellevue, Washington, United States",A subscription-based photo organization and storage program,"43,838","110,282","87,342.17",57.85%,-68.42%,144,1.94,7.66%,56.08%,-9.93%,"496,408","-135,887",-21.49%,"Greater Seattle Area, West Coast, Western US",Active,2012-01-01,year,2,11-50,"Aaron Holm, David Vaskevitch",,,51056,USD,51056
HR for Health,https://www.crunchbase.com/organization/hr-for-health,,"Cloud Storage, Developer Tools, Health Care, Human Resources, Software",https://www.hrforhealth.com/,"San Ramon, California, United States","HR for Health is a cloud-based software for healthcare practices, legal risk & compliance with federal and state laws, developed for HR.","226,853","103,290","40,964.17",231.06%,-96.46%,7,1.36,1.22%,64.22%,-16.23%,"518,451","-547,809",-51.38%,"San Francisco Bay Area, West Coast, Western US",Active,2007-10-31,day,1,11-50,Ali Oromchian,1,,,,
afi.ai,https://www.crunchbase.com/organization/afi-ai,,"Cloud Infrastructure, Cloud Storage, Enterprise Software",http://afi.ai,"Coral Springs, Florida, United States",Data backup and management platform,"79,918","102,866","75,402.67",-23.48%,-71.59%,25,2.35,6.79%,26.6%,-31.11%,"526,114","116,958",28.59%,"Greater Miami Area, East Coast, Southern US",Active,2013-01-01,year,1,11-50,Vincent Marino,,,,,
Renderro,https://www.crunchbase.com/organization/renderro,"Renderro enables filmmakers, graphic designers and animators to create their content fully in the cloud.  We have imagined a world where they never again have to buy or upgrade expensive tools and where they can enjoy the freedom to work and collaborate from anywhere in the world. Our mission is simple.  It is to enable creatives to just focus on the creative process. Without being limited by their hardware or burdened by the technical aspects ever again. We believe that every creative should have access to the best creative tools. And our goal is to deliver them to everyone who wants to change the world with their ideas. No matter where they are or who they are. Renderro is set to enable creating diverse, borderless teams by allowing remote and real-time collaboration between creatives through an intuitive and accessible cloud solution. Connect. Create. Share. Effortlessly.","3D Technology, Cloud Storage, Content Creators, Film Production, Graphic Design, Information Services, Information Technology, Media and Entertainment, Software",https://renderro.com/,"Delaware City, Delaware, United States",Work remotely using your own supercomputer in the cloud. Run all challenging software from any device and collaborate easily with your team.,"38,433","100,179","34,649.17",617.36%,629.58%,"1,554",3.74,103.24%,44.21%,-3.79%,"528,843","-1,186,630",-69.17%,"Greater Philadelphia Area, East Coast, Southern US",Active,2019-04-18,day,3,1-10,"Joanna Glijer, Lukasz Wiecek, Piotr Chomczyk",,,,,
Portworx,https://www.crunchbase.com/organization/portworx,"Portworx is a cloud-native storage and data management company offering the industry’s first storage solution purpose-built for containers. With Portworx, they can manage any database or stateful service on any infrastructure using any container scheduler. It also enterprises depend on to reduce the cost and complexity of rapidly deploying containerized applications across multiple clouds and on-prem environments. Portworx creates a storage layer that allows developers to then access that data, no matter where it resides. The company solves the five most common problems DevOps teams encounter when running stateful services in production such as security, data automation, persistence, support, and high availability for multiple data stores and infrastructure. Portworx was founded in 2014 and is headquartered in Los Altos, CA, USA.","Cloud Storage, Data Center, Data Storage, Software",https://portworx.com/,"Los Altos, California, United States",Portworx is a cloud-native storage and data management company offering the industry’s first storage solution purpose-built for containers.,"12,022","96,367","39,750.33",401.62%,469.85%,775,2.51,92.03%,58.61%,-25.47%,"561,765","-962,397",-63.14%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2014-01-01,year,3,101-250,"Goutham Rao, Murli Thirumale, Vinod Jayaraman",,,,,
Fake Caller ID,https://www.crunchbase.com/organization/fake-caller-id,,"Apps, Cloud Storage, Mobile Apps",https://fakecallerid.io,"Mesa, Arizona, United States","Fake Caller ID is an application that helps to change voice, and record calls with multiple features.","165,508","87,279","122,229.67",-61.28%,12.55%,807,1.32,-19.37%,73.11%,21.55%,"599,801","294,613",96.53%,"Greater Phoenix Area, Western US",Active,,,,,,2,637,,,
