Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
GoConqr,https://www.crunchbase.com/organization/examtime,"GoConqr is on a mission to change the way people learn. We are determined to make education accessible for everyone. GoConqr is a free online learning platform that is taking the world by storm. In less than 2 years, over 600,000 users have signed up in beta, with 15 million learning sessions completed on the site.  Students and teachers can create, share and discover learning resources such as Mind Maps, Flashcards, Quizzes and Notes. Our tools are transforming learning into an ‘active’ process by encouraging students to be co-authors of knowledge.  For years students have been using software that has been created for corporate use. The tools and applications that are required for understanding and learning are not the same as the ones that are required for being effective for the workplace. We have worked with student software for years and have realised that they need applications that are specifically designed to help learning and ultimately exam success.","Apps, Cloud Computing, Education",https://www.goconqr.com/,"Dublin, Dublin, Ireland","GoConqr is a free online learning platform where you can create, share and discover learning resources.","240,403","1,176,977","1,039,158.83",40.3%,-28.59%,437,1.8,3.16%,59.96%,-0.96%,"97,215","-23,400",-19.4%,European Union (EU),Active,2011-11-30,day,1,11-50,Dualta Moore,5,,,,
Koofr,https://www.crunchbase.com/organization/koofr,"Koofr is a safe and simple way to store, backup and share your documents, music, photos, videos and more. Access your data anytime and anywhere.The Koofr app is available for Windows, Mac, Linux, iOS, Android and Windows Phone. Besides storage you can use Koofr as a connection tool between multiple cloud storage options (Dropbox, Google Drive and One Drive).  Customers who will benefit the most from Koofr are ISPs and cloud infrastructure providers, who want to offer STaaS (STorage as a Service) solutions to their end users. Koofr can be fully branded, running on-premise or in the cloud.","Cloud Computing, Software",http://www.koofr.net,"Ljubljana, Ljubljana Urban Commune, Slovenia","Koofr is a safe and simple way to store, backup and share your documents, music, photos, videos and more.","150,850","1,060,050","2,187,410",150.98%,-33.38%,449,1.82,-36.67%,78.33%,54.19%,"105,131","-92,271",-46.74%,European Union (EU),Active,2013-02-22,day,2,1-10,"Damjan Maticic, Luka Zakrajšek",3,17,,,
sevDesk,https://www.crunchbase.com/organization/sevenit-gmbh,"sevDesk simplifies the accounting for small businesses and freelancers. With KI-based automation, they eliminate all the annoying tasks to get the pain out of the accounting process.","Accounting, Cloud Computing, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software",https://sevdesk.de,"Offenburg, Baden-Wurttemberg, Germany",Cloud accounting for small business,"7,299","1,047,186","1,092,388.67",-8.38%,23.63%,994,2.53,5.87%,52.14%,-2.96%,"106,120","9,903",10.29%,European Union (EU),Active,2013-10-01,day,2,251-500,"Fabian Silberer, Marco Reinbold",5,"5,298",,,
MessageBird,https://www.crunchbase.com/organization/messagebird,"MessageBird powers communication between businesses and their customers — across any channel, always with the right context, and on every corner of the planet. Its products and solutions are the foundational building blocks to business communications across preferred channels, like SMS, Voice, WhatsApp, WeChat, Messenger, Email and more. Founded in Amsterdam in 2011, MessageBird connects to billions of devices and is trusted by nearly 20,000 customers. It operates across nine worldwide hubs and is proud to be a “Work Anywhere” company.","Cloud Computing, Enterprise Software, Messaging, Telecommunications",https://www.messagebird.com/,"Amsterdam, Noord-Holland, The Netherlands",MessageBird is a cloud communications platform that connects enterprises to their global customers.,"23,500","813,018","921,837.67",-6.33%,78.66%,452,3.79,22.98%,23.74%,-28.77%,"123,441","12,688",11.46%,European Union (EU),Active,2011-01-01,day,3,1001-5000,"Adriaan Mol, Bob Violier, Robert Vis",,,,,
SimScale,https://www.crunchbase.com/organization/simscale,"SimScale is a web platform that allows engineers to simulate and analyze the physical behavior of their products with a standard web browser, helping engineers to develop their products faster, easier and better. It is providing a cloud-based simulation tool, educational hub, and collaborative community of innovators.","3D Technology, CAD, Cloud Computing, Internet, Product Design, Simulation, Software",https://www.simscale.com/,"Munich, Bayern, Germany",SimScale is a web-based 3d simulation platform.,"6,936","749,918","399,886.83",68.75%,333.48%,"2,007",6.88,246.61%,26.44%,-54.76%,"130,989","-48,798",-27.14%,European Union (EU),Active,2012-01-01,year,5,101-250,"Alexander Fischer, Anatol Dammer, David Heiny, Johannes Probst, Vincenz Dölle",,,6567637,USD,6567637
Zyte (formerly Scrapinghub),https://www.crunchbase.com/organization/zytedata,"Hi, we’re Zyte!  We are the leader in web data extraction technology and services. We’re obsessed with data. And what it can do for businesses. We help thousands of companies and millions of developers to get their hands on clean, accurate data. Quickly, reliably and at scale. Every day, for more than a decade. From price intelligence, news and media, job listings and entertainment trends, brand monitoring, and more, our customers rely on us to obtain dependable data from over 13 billion web pages each month. We led the way with open source projects like Scrapy, products like our Smart Proxy Manager (formerly Crawlera), and our end-to-end data extraction services. Our fully remote team of nearly two hundred developers and extraction experts set out to remove the barriers to data and change the game.","Big Data, Cloud Computing, Data Mining, PaaS, SaaS, Software",https://www.zyte.com/,"Ballincollig, Cork, Ireland","We’re Zyte, the central point of entry for all your web data needs.","81,986","695,565","584,138.33",22.24%,88.57%,"5,625",13.07,52.25%,16.7%,-40.95%,"143,286","-16,629",-10.4%,European Union (EU),Active,2010-01-01,year,2,101-250,"Pablo Hoffman, Shane Evans",,,,,
Bynder,https://www.crunchbase.com/organization/bynder,"Bynder is award-winning marketing software that allows brands to easily create, find and use content, such as documents, graphics and videos. More than 1.7 million brand managers, marketers and creatives use Bynder’s brand portals every day to collaborate globally, produce, review and approve new marketing collateral, and circulate company content at the click of a button. Brands using Bynder go to market faster and achieve end-to-end brand consistency across all channels and regions, with simplified collaboration across the organization. Founded in 2013 by CEO Chris Hall, Bynder is established globally with headquarters in Amsterdam and offices across the Netherlands, UK, US, Spain, Australia and UAE.","Advertising, Brand Marketing, Cloud Computing, Digital Marketing, Digital Media, Marketing, Marketing Automation, Professional Services, SaaS, Software",https://www.bynder.com,"Amsterdam, Noord-Holland, The Netherlands",Bynder is a provider of a digital asset management (DAM) platform designed to offer a smart way to find and share creative files.,"4,467","640,906","498,299.67",-15.53%,-25.02%,833,1.93,6.36%,64.1%,-6.72%,"152,182","21,732",16.66%,European Union (EU),Active,2013-01-01,month,2,501-1000,"Chris Hall, Roland Keijzer",1,,,,
Current-RMS Ltd.,https://www.crunchbase.com/organization/current-rms-ltd,"Current-RMS Ltd. supplies cloud based, fully integrated rental management solutions to the AV, production and event industries. Current RMS has been developed with extensive industry and technical knowledge where innovation and the service we provide is at the heart of everything we do.","Cloud Computing, Rental, Software",https://current-rms.com,"Nottingham, Nottingham, United Kingdom","Current-RMS Ltd. supplies cloud based, fully integrated rental management solutions.","414,018","637,064","464,423.5",103.2%,12.68%,"3,564",36.53,39.42%,10.53%,-21.65%,"153,083","-89,952",-37.01%,,Active,2014-01-01,year,,,,,,,,
Omikai Systems,https://www.crunchbase.com/organization/omikai-systems,"Omikai Systems has developed an industry-specific business system cloud in the graphical industry that supports the entire order flow. Omikai was founded 2012 by a team with deep knowledge about the printing industry, automatization and software development. Our head office is based in Västerås, Sweden Our mission is very clear - provide the best, most complete and fully tested products and solutions for our customers within the printing industry","Cloud Computing, Computer, Information Services, Information Technology, Manufacturing, Software",http://omikai.com/,"Västerås, Vastmanlands Lan, Sweden",Omikai Systems has developed an industry-specific business system cloud in the graphical industry that supports the entire order flow.,"134,070","582,782",,22.78%,85.68%,"9,503",25.92,63.87%,10.2%,25%,"163,021","-18,826",-10.35%,"European Union (EU), Nordic Countries, Scandinavia",Active,2012-01-01,year,1,1-10,Mathias Erlandsson,,,,,
IRT b-com,https://www.crunchbase.com/organization/irt-b-com,,"3D Technology, Augmented Reality, Cloud Computing, Computer Vision, Network Security, Telecommunications, Virtual Reality",https://b-com.com,"Cesson-sévigné, Bretagne, France",b<>com is a tech provider and an innovation accelerator for every business that uses digital to increase its competitiveness.,"319,886","527,043","633,140.5",-28.47%,85.34%,"5,108",6.58,13.2%,33.36%,8.28%,"177,385","44,650",33.64%,European Union (EU),Active,2012-01-01,year,,101-250,,,,,,
Billogram,https://www.crunchbase.com/organization/billogram,"Since its start in 2011, Billogram has revitalized the outdated invoicing process by offering companies with recurring payments an intelligent digital platform. Using smart technology, we help companies strengthen their customer relations while also automating payment processes in a way that lowers costs, increases revenue, and reduces churn. The result is a payment that pays off for everyone.","Billing, Cloud Computing, Enterprise Software, FinTech, SaaS, Software",http://www.billogram.com,"Stockholm, Stockholms Lan, Sweden","Billogram’s smart invoicing & payments platform automates customer management, prevents churn and increases revenue","2,487","477,887","298,411.67",90.56%,289.6%,974,1.33,3.63%,80.4%,4.85%,"180,976","-87,420",-32.57%,"European Union (EU), Nordic Countries, Scandinavia",Active,2010-01-01,year,2,51-100,"Cesar Sangchi, Jonas Suijkerbuijk",,,4329933,USD,4329933
UpCloud,https://www.crunchbase.com/organization/upcloud,"UpCloud prides itself on extreme redundancy, enterprise grade hardware, 100% SLA, truly flexible resources as well as high resource performance on all service levels.  The company has competitive pricing, one of the cheapest in Europe. In addition to a control panel that is easy to use, it has mobile apps for the iOS and Android platforms that give administrators the ability to monitor their servers on the go.","Cloud Computing, Cloud Data Services, IaaS, Web Hosting",https://upcloud.com,"Helsinki, Southern Finland, Finland",UpCloud offers the world's fastest cloud servers.,"18,014","473,832","374,476.67",46.5%,141.01%,"1,528",5.69,190.42%,46.65%,-33.17%,"182,070","-43,010",-19.11%,"European Union (EU), Nordic Countries, Scandinavia",Active,2011-09-01,day,1,11-50,Joel Pihlajamaa,,,14376793,USD,14376793
Sales Layer,https://www.crunchbase.com/organization/sales-layer,"Sales Layer is a  global-leading PIM (Product Information Management) SaaS platform that allows teams to easily upload, analyze and enhance their product information and data. Products can then be showcased on every platform, app and marketplace in the world with just a simple few clicks - saving hundreds of working hours every single year.  Sales Layer provides a quick and simple onboarding process, plug-and-play connectors, customizable workflows, and an intuitive UX for ease-of-use. Sales Layer is a market-leader, partnering with Google Manufacturer, Amazon Vendor, BigCommerce and Mercado Libre and working with clients such as Teka, Rexel, ACCIONA and AkzoNobel. Sales Layer PIM offers integration with Google, Amazon, Shopify and Magento, amongst a number of other selling platforms. Founded in 2013, Sales Layer has since grown rapidly, serving clients worldwide and operating offices in Valencia, Spain and London, UK.","Cloud Computing, Enterprise Software, Information Services, Internet, Product Management, SaaS, Software",https://saleslayer.com,"Valencia, Comunidad Valenciana, Spain","Sales Layer is a global-leading PIM platform used to centralize, enrich, and synchronize product data across all channels.","11,745","362,318","305,964.33",-57.58%,-59.62%,"1,010",1.63,-33.81%,63.89%,13.8%,"227,990","108,980",91.57%,European Union (EU),Active,2013-01-01,year,2,51-100,"Alvaro Verdoy, Iban Borras",,,,,
Pusher,https://www.crunchbase.com/organization/pusher-ltd,"Pusher Ltd. provides a hosted API service for adding real-time bi-directional functionality via WebSockets to Web and mobile apps, or other Internet connected devices.","Cloud Computing, Developer APIs, Enterprise Software, Messaging, Real Time, Software",https://www.pusher.com/,"London, England, United Kingdom",Pusher Ltd. provides a hosted API service for adding real-time bi-directional.,"97,556","350,849","424,145.5",-47.95%,-28.45%,679,3.55,67.23%,59.06%,-14.09%,"233,311","91,718",64.78%,,Active,2010-01-01,year,2,51-100,"Damien Tanner, Max Williams",3,103,,,
Qudini - Retail Choreography,https://www.crunchbase.com/organization/qudini,"Built for enterprise retailers and banks, Qudini’s Retail Choreography suite includes market-leading customer experience solutions for: Appointment scheduling, event booking, queue management, click and collect pickup and task management. All Qudini solutions are available on desktop, IOS and Android. As a company they're all about ensuring that the magic of retail thrives into the future - whether online or offline, or a hybrid of the two. Drive sales and loyalty across your stores and websites with market-leading software to choreograph your customers.","B2B, Banking, Cloud Computing, Enterprise Software, Information Technology, Retail, Retail Technology, Software, Telecommunications",http://www.qudini.com,"London, England, United Kingdom","Retail Choreography solutions to transforming customer experience, operations and data for retailers and banks.","42,333","347,257","381,782.5",35.65%,103.45%,177,1.8,27.87%,50.19%,-20.26%,"226,428","-37,997",-14.37%,,Active,2012-06-01,month,2,11-50,"Fraser Hardy, Imogen Wethered",,,31720234,USD,31720234
iCabbi,https://www.crunchbase.com/organization/icabbi,"iCabbi provide revolutionary cloudbased taxi dispatch systems that integrate seamlessly with websites, booking engines and mobile booking apps. The feature rich, user-friendly iCabbi dispatch system was built with taxi companies, for taxi companies and will match the offerings of any of the market leading dispatch providers and more. As a new player entering the market, they have identified the common difficulties facing taxi companies in recent years and have focused on these areas to offer a product which stands out from the competition. The dispatch system can be tailored to suit startup fleets, SMEs and large-scale fleets.","Apps, Cloud Computing, Enterprise Software, Information Technology, Mobile, Mobile Apps, SaaS, Software, Transportation",http://www.iCabbi.com,"Dublin, Dublin, Ireland","iCabbi provides cloud-based taxi dispatch systems that integrate seamlessly with websites, booking engines, and mobile booking apps.","47,673","345,199","376,682.67",-21.4%,-49.65%,145,2.64,-30.51%,33.11%,57.44%,"229,395","46,982",25.76%,European Union (EU),Active,2010-01-01,year,3,51-100,"Bob Nixon, Gavan Walsh, Niall O' Callaghan",4,"1,148",,,
easy bill,https://www.crunchbase.com/organization/easy-bill,"easy bill write invoices, quotations and delivery notes with their cloud-based accounting software. This saves time and nerves.","Cloud Computing, Customer Service, Delivery Service, Software",https://www.easybill.de/,"Kaarst, Nordrhein-Westfalen, Germany",easy bill create invoices online and manage customers.,"465,158","320,241","197,173.5",58.97%,76.9%,"1,792",11.59,38.48%,14.61%,-43.83%,"239,626","-71,697",-23.03%,European Union (EU),Active,2013-01-26,day,1,11-50,Philipp Gesell,,,,,
anfix,https://www.crunchbase.com/organization/anfix,"Anfix is a cloud-based accounting application for small businesses in Spain. It provides its users with tools, such as billing, collection and storage of documents, project management, taxation, and more, to manage their businesses. The application enables its users to create electronic invoices, quotes, orders, keep track of billing and payments, and more. Anfix charges only for what its users use, allowing users who cannot pay to use it for free until they can or are willing to pay for it. It was launched in 2010 and is based in Valladolid, Spain. Recently launched financial products partnering with Santander Bank","Accounting, Cloud Computing, Financial Services, FinTech, Small and Medium Businesses",http://anfix.com,"Valladolid, Castilla y Leon, Spain","Anfix is ​​an accounting, invoicing and HR cloud software designed for advisors and small business/professionals","82,986","254,863","185,244.17",114.94%,-42.19%,148,1.37,-19.54%,82.88%,-3.12%,"291,027","-181,552",-38.42%,European Union (EU),Active,2010-01-01,year,2,51-100,"Amine Khadmaoui, Jorge Pascual",4,70,,,
AppGyver,https://www.crunchbase.com/organization/appgyver,"AppGyver is the provider of innovative tools for no-code development suitable for novice and seasoned developers alike.  AppGyver creates user-friendly, business driven tools for rapid app creation. AppGyver Composer lets companies and developers create and distribute sophisticated business to business and business to employee apps. AppGyver's tools are trusted by over 200,000 users and Fortune 500 companies.","Android, Apps, Cloud Computing, Developer Tools, Internet, iOS, Mobile, Software, Web Development",http://www.appgyver.com,"Helsinki, Southern Finland, Finland",AppGyver offers professional no-code platform for building React and React Native apps.,"79,844","237,635","349,867.5",-1.9%,-30.24%,798,4.35,-9.15%,50.73%,0.12%,"305,262","14,396",4.95%,"European Union (EU), Nordic Countries, Scandinavia",Active,2010-01-01,year,3,11-50,"Henri Vahakainu, Jeff Alonzo, Marko Lehtimaki",12,,4432671,USD,4432671
Queue-it,https://www.crunchbase.com/organization/queue-it-2,"Queue-it is the leading developer of virtual waiting room services to control website and app traffic surges by offloading visitors to an online queue. Its powerful SaaS platform enables online ticket vendors, ecommerce companies, educational institutions, and public-sector services around the globe to keep their systems online and visitors informed, capturing key sales and online activity on their most business-critical days. The use of Queue-it has ensured online fairness during high-demand situations for billions of end-users worldwide. The company has offices in Denmark, the U.S., and Australia.","Cloud Computing, Computer, SaaS, Software",https://queue-it.com/,"Copenhagen, Hovedstaden, Denmark",Prevent web traffic peaks from overloading your website or app with our leading virtual waiting room.,"172,926","230,815","253,965.17",64.81%,-68.03%,102,1.12,-11.69%,89.24%,20.94%,"300,364","-97,616",-24.53%,"European Union (EU), Nordic Countries, Scandinavia",Active,2010-01-01,year,3,101-250,"Camilla Ley Valentin, Martin Pronk, Niels Henrik Sodemann",,,,,
Temponizer,https://www.crunchbase.com/organization/temponizer,,"Billing, Cloud Computing, Cloud Security, Software",https://www.temponizer.dk/,"Grenaa, Midtjylland, Denmark",Temponizer provides cloud solutions and professional customer service to temp agencies for optimizing business processes and ensure savings.,"556,959","212,898","343,386.17",-82.61%,-27.39%,273,3.12,-16.31%,42.34%,37.11%,"317,400","231,951",271.45%,"European Union (EU), Nordic Countries, Scandinavia",Active,2011-08-22,day,,1-10,,,,,,
Epos Now,https://www.crunchbase.com/organization/epos-now,"Launched in 2011, Epos Now was founded on a belief that all businesses and entrepreneurs should be able to leverage the power of both cloud computing and modern technology to power their businesses. They help to improve both the lives of their customers and their businesses.","Cloud Computing, Software",https://www.eposnow.com,"Norwich, Norfolk, United Kingdom",Epos Now is a privately held company that provides cloud software for any business.,"110,823","200,424","282,728.67",-16.22%,-55.68%,234,2.26,22.2%,67.29%,1.66%,"342,783","49,618",16.92%,,Active,2011-06-05,day,1,251-500,Jacyn Heavens,,,22195315,USD,22195315
Moovly,https://www.crunchbase.com/organization/moovly,"Moovly is a cloud based SaaS digital media and content creation software platform.  Using Moovly users can create multimedia presentations, interactive infographs, animated banner ads, company and product promotion videos and other similar multimedia digital content. Using a combination of uploaded images, videos and sounds, as well as a pre-defined library of objects, users will be able to assemble new content modules and publish them on a variety of platforms (social media platforms, mobile devices, ...) as well as download their content for other uses.","Cloud Computing, Content, Education, SaaS, Software",http://www.moovly.com,"Diegem, Vlaams-Brabant, Belgium",Moovly is a cloud-based SaaS digital media and content creation software platform.,"63,166","179,920","243,173.17",-15.11%,14.22%,530,2.61,-9.09%,48.08%,2.8%,"356,018","55,182",18.34%,European Union (EU),Active,2012-10-06,day,2,1-10,"Brendon Grunewald, Geert Coppens",,,,,
