Organization Name	Organization Name URL	Full Description	Industries	Website	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	Headquarters Regions	Operating Status	Founded Date	Founded Date Precision	Number of Founders	Number of Employees	Founders	Apptopia - Number of Apps	Apptopia - Downloads Last 30 Days	Aberdeen - IT Spend	Aberdeen - IT Spend Currency	Aberdeen - IT Spend Currency (in USD)	PP URL
A2IT	https://www.crunchbase.com/organization/a2it		Cloud Infrastructure, Information Technology, Network Security, Software	https://www.a2it.com	Caparica, Setubal, Portugal	A2IT is a company that delivers software development, data center, cloud, and network security services.	652,346	1,956	6,188.83	-25.06%	-34.55%	161	3.23	24.29%	50.41%	152.05%	5,109,056	603,239	13.39%	European Union (EU)	Active	2006-01-01	day		51-100							
EPOS Hybrid	https://www.crunchbase.com/organization/epos-hybrid	EPOS Hybrid is a developer of a cloud-based POS system for hospitality food businesses designed to streamline business operations. The company's platform empowers restaurants, takeaways, bars, and cafes to manage operational business areas from one user-friendly platform. It is intended to help enhance ordering processes, creates efficiencies within service delivery, reduces overheads, and elevates the customer experience. It is designed to keep up to date and provide a better dining and ordering experience, enabling an increase in customer satisfaction.	Cloud Infrastructure, Hospitality, SaaS, Software	https://www.eposhybrid.com/	Croydon, Croydon, United Kingdom	EPOS Hybrid is a developer of a cloud-based POS system for hospitality food businesses designed to streamline business operations.	44,858	1,940	2,025.5	-18.96%	14,800%	0	1.0	-12.63%	100%	16.89%	5,006,606	513,171	11.42%		Active	2015-01-01	year	1.0	11-50	Bhas Kalangi						https://www.eposhybrid.com/privacy-policy
Antiblanks	https://www.crunchbase.com/organization/antiblanks		Cloud Infrastructure, Information Technology, Web Design, Web Development	https://antiblanks.com/	London, England, United Kingdom	Antiblanks is an IT company that provides website creation, mobile app development, cloud infrastructure, branding, and consulting services.	878,693	1,878				0	1.0		100%		5,070,764				Active	2005-01-01	year		1-10							
Icodia	https://www.crunchbase.com/organization/icodia	Icodia is a company that brings together different players in network security, advanced software development, and transmission of information over networks. The industry offers professional quality solutions for hosting domain names, shared plans, dedicated and virtual servers, cloud, etc.	Cloud Infrastructure, Network Security, Web Hosting	https://icodia.com	Cesson-sévigné, Bretagne, France	Icodia offers shared, dedicated, or virtual hosting solutions that are secure and in high availability.	1,210,888	1,840	2,304.33	-79.06%	803.37%	1,608	2.5	-21.05%	0%	-83.33%	5,112,748	2,899,215	130.98%	European Union (EU)	Active	2000-01-01	year		11-50							
okmeter.io	https://www.crunchbase.com/organization/okmeter-io		Application Performance Management, Automotive, Cloud Infrastructure, Information Services, Information Technology, Infrastructure	https://okmeter.io	Moscow, Moscow City, Russian Federation	Magically auto-integrating and ultra-detailed server and backend infrastructure monitoring. 	369,715	1,820				623	4.0		0%		5,325,999				Active	2013-02-01	month	2.0	1-10	Nikolay Sivko, Pavel Trukhanov						https://okmeter.io/misc/legal/privacy-policy-eu
HKN	https://www.crunchbase.com/organization/hkn		Cloud Computing, Cloud Infrastructure, Cloud Management, Information Technology, Web Hosting	https://www.hkn.de/	Krefeld, Nordrhein-Westfalen, Germany	HKN is an open cloud solutions company providing managed server hosting and mail server security solutions.	1,642,819	1,807	2,573.33	-28.61%		3,524	3.0	200%	66.67%	-33.33%	5,144,160	740,221	16.81%	European Union (EU)	Active	1996-01-01	year		1-10							
TCM	https://www.crunchbase.com/organization/techcontrolmanagment		Cloud Infrastructure, Management Consulting, Telecommunications	http://www.tcmanagement.no/	Oslo, Oslo, Norway	TCM is a consultancy that helps companies to reduce their telecom cost and manage expenses with a cloud-based accounting system.	1,174,155	1,806		881.52%		180	1.46	46.23%	53.79%	-46.21%	5,145,546	-4,122,566	-44.48%	Nordic Countries, Scandinavia	Active	2013-01-01	day		11-50							
Nemetschek bim+ GmbH	https://www.crunchbase.com/organization/nemetschek-bim-gmbh	bim+ is an open platform that helps you build faster and better. It provides the simplest way to store, share, visualize and connect your building information. bim+ is a cloud-based service for anybody involved in the design, construction and management of buildings. It combines all information relating to a particular building, enabling users to easily share, view and interact with 3D building models and 2D drawings anywhere and at any time using an iPad, laptop or PC. bim+ enhances and accelerates collaboration among owners, managers and contractors, making sure everybody uses the same information.	Cloud Infrastructure, Developer APIs, Smart Building	http://www.bimplus.net	Munich, Bayern, Germany	Reinventing the building industry	1,865,050	1,803	2,656	24.86%	2,320%	242	2.41	91.1%	40.1%	-45.88%	5,148,307	-628,569	-10.88%	European Union (EU)	Active			1.0	11-50	Christian Ehl	1.0					
Playbox Neo	https://www.crunchbase.com/organization/playbox-neo		Broadcasting, Cloud Infrastructure, Satellite Communication	https://playboxneo.com/	Sofia, Grad Sofiya, Bulgaria	Playbox Neo is a media production company that provides broadcasting, TV automation, subtitling and IP streaming services.	444,023	1,788	3,075.33	506.1%	-99.37%	3	1.14	-58.75%	86.47%	28.18%	5,161,785	-3,384,418	-39.6%	European Union (EU)	Active				101-250							https://playboxneo.com/privacy-policy
Coursepath	https://www.crunchbase.com/organization/coursepath	Learning doesn’t stop after school. We believe in lifelong learning: educating yourself throughout your professional career, either through your employer or through your own initiative. Your customers, business partners and colleagues expect nothing less. Luckily, learning can be very fun as well. With Coursepath, you can create your own Online Academy in just a few steps and be able to share your knowledge and offer training courses right away. Coursepath makes training easy, and the learning aspect of it all, fun. Anyone can do it.	Cloud Infrastructure, Collaboration, Corporate Training, Education, Skill Assessment, Training	https://www.coursepath.com	Cologne, Nordrhein-Westfalen, Germany	Train Employees, Customers and Partners – Quickly and Effectively	837,484	1,779	26,544	-98.61%	-91.4%	0	1.08	-60.6%	92.07%	64.5%	5,171,452	4,749,092	1,124.42%	European Union (EU)	Active	2013-01-01	year		11-50							https://www.coursepath.com/privacy
Zzapps	https://www.crunchbase.com/organization/zzapps		Cloud Infrastructure, Data Center Automation, Software, Web Development	http://zzapps.nl	Eindhoven, Noord-Brabant, The Netherlands	Zzapps are specialists in google cloud solutions with the G suite, with expertise in the building of custom software as well as automation.	1,446,833	1,762				1,171	8.09		0%		5,447,928			European Union (EU)	Active	2010-01-01	day		11-50							https://www.zzapps.nl/privacy-policy
Cloud Temple	https://www.crunchbase.com/organization/cloud-temple		Cloud Infrastructure, Information Technology, Outsourcing	https://www.cloud-temple.com/	Nanterre, Ile-de-France, France	Cloud Temple specializes in transformation, IT hosting and outsourcing services.	348,156	1,696				73	2.28		9.38%		5,520,118			European Union (EU)	Active				101-250							
SYSTECS	https://www.crunchbase.com/organization/systecs		CAD, Cloud Infrastructure, Software, Software Engineering	http://www.systecs.com	Leinfelden-echterdingen, Baden-Wurttemberg, Germany	SYSTECS provides software engineering and consulting services in the areas of CAD, manufacturing, cloud, web design, and applications.	1,658,159	1,640				161	2.0		0%		5,399,637			European Union (EU)	Active	1994-01-01	day		11-50				3993571.0	USD	3993571.0	
Stream Circle	https://www.crunchbase.com/organization/stream-circle	Stream Circle offers tools and solutions that enable its users to create and manage internet TV channels. The TV channels feature graphics, logos, captions, automatic layouts, cloud hosting, and social media casting. It offers its services for broadcasters, digital media houses, B2C professional services, corporations, primary content owners, and public organizations. Stream Circle offers HD digital video and 3D graphics automation, multi-source video and audio mixer, and IP stream delivery services. Stream Circle was founded in November 2015 and is based in Prague, Czech Republic.	Cloud Infrastructure, Information Services, Information Technology	https://www.streamcircle.com/	Prague, Hlavni mesto Praha, Czech Republic	Stream Circle provides cloud platform based linear IP streams goof for Web, IPTV, OTT and Mobile TV systems.	120,124	1,576				0	1.0		100%		5,775,943			European Union (EU)	Active	2015-11-01	month	1.0	1-10	Josef Vašica						
Lutessa	https://www.crunchbase.com/organization/lutessa	We are Lutessa, ESN hyper-specialized in 3 areas of activity: Connectivity, Cloud and Cybersecurity. Thanks to a hundred technophile specialists, Lutessa supports its customers, namely manufacturers, operators, integrators and major contractors in the study, integration and management of their critical infrastructures. To date, Lutessa now covers 2 territories: France & Monaco, and has the ambition to open others!	Cloud Infrastructure, Cyber Security, Information Technology, Network Security, Professional Services	https://www.lutessa.com/	Paris, Ile-de-France, France	Lutessa is an IT consulting firm specializing in network infrastructure, security architecture, and data center services.	602,287	1,516				0	1.0		100%		6,148,444			European Union (EU)	Active	2013-01-01	year		51-100							
IDFNV	https://www.crunchbase.com/organization/idfnv		Cloud Infrastructure, Cloud Storage, Web Hosting	https://www.idfnv.com/#	Amsterdam, Noord-Holland, The Netherlands	Idfnv is a web-hosting and cloud-based service in Netherlands for custom-made web and stream hosting solutions.	1,183,841	1,459	964	-6.59%	-52.69%	44	1.52	17.03%	81.08%	1.31%	6,263,139	466,229	8.04%	European Union (EU)	Active	1989-01-01	day									https://www.idfnv.com/en/terms-and-gdpr/
Stockoss	https://www.crunchbase.com/organization/stockoss	3PL market is enormous ($1000 billions), fragmented and incredibly techless. Stockoss is building a software to help supply chain partners deliver better and optimize storage and distribution streams.  Stockoss offers to companies unicity, flexibility, transparency and data monitoring. We connect isolated logistics players (logisticians, carriers) into a global network.  We centralize every company’s logistics needs one single platform.	Cloud Infrastructure, Information Services, Information Technology, Infrastructure, IT Infrastructure, Logistics, SaaS, Software, Software Engineering, Supply Chain Management	https://stockoss.com/	Paris, Ile-de-France, France	End-to-end logistics platform providing services & software to Supply chain's players and companies.	65,546	1,451	1,403.67	111.82%	2,380%	560	2.43	142.87%	57.14%	-42.86%	6,278,465	-1,329,963	-17.48%	European Union (EU)	Active	2018-02-01	month	2.0	11-50	Franck Nussbaumer, Laurent Bonnet						
Digital-VM	https://www.crunchbase.com/organization/digital-vm	Digital-VM provides fast and reliable Cloud/VPS infrastructure worldwide. the mission is to deliver 100% uptime with the fastest speeds available in that region.	Cloud Infrastructure, Communications Infrastructure, Infrastructure	https://digital-vm.com/	Bucharest, Bucuresti, Romania	Digital-VM provides fast and reliable Cloud/VPS infrastructure worldwide.	446,164	1,450				2,415	9.47		0%		6,279,040			European Union (EU)	Active	2018-01-01	year									https://digital-vm.com/privacy/
FourNet	https://www.crunchbase.com/organization/4net-technologies	FourNet is a cloud and managed communications service company providing cloud, collaboration, and contact center solutions. The company is delivering the technology that helps to provide better customer experience, the tools that encourage employee collaboration and better ways of working, and the managed support that allows them to focus on running their business, not their communications infrastructure. FourNet identifies the best engineering, customer service, and technical talent from across the country then target, empower, and incentivize them to help them deliver for its customer. It also provides professional services, engineering, and project management skills to help its customers achieve their digital transformation and customer experience goals. They focus on the business objectives that their customers are trying to achieve and then align everyone in delivering that goal. FourNet was founded in 2005 and is headquartered in Manchester, UK.	Cloud Infrastructure, Communications Infrastructure, Customer Service, Information Technology, Telecommunications, Unified Communications, Video Conferencing	https://fournet.co.uk	Manchester, Manchester, United Kingdom	FourNet is a cloud and managed communications service company providing cloud, collaboration, and contact center solutions.	36,831	1,432	1,467.33	47.17%	-98.31%	0	1.0	0%	100%	0%	6,064,878	-410,235	-6.34%		Active	2005-01-01	year	4.0	101-250	Francis Jennings, Michael Jervis, Richard Pennington, Steve Tyrrell						https://fournet.co.uk/privacy-policy/
Itera Technologies a.s.	https://www.crunchbase.com/organization/itera-technologies-a-s	Itera, the serial cloud builder company, was founded by renowned cloud experts who have extensive experience with cloud platform development, open-source technology, automation, CI / CD, and cloud networking. We combine huge ecosystems of services and tools of two highly sophisticated platforms - Kubernetes and OpenStack. Now we have developed our own forefront tools - Taikun and Shogun.	Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Information Technology, Private Cloud, Software	https://www.itera.io	Praha, Hlavni mesto Praha, Czech Republic	We specialize in building various types of clouds using our own cutting-edge orchestration technology and know-how since 2012.	222,162	1,415		109.32%		167	2.09	108.98%	63.67%	-36.33%	6,353,087	-1,277,592	-16.74%	European Union (EU)	Active	2012-01-01	year		11-50							https://www.itera.io/privacy-policy
Softeam	https://www.crunchbase.com/organization/softeam-b11c		Cloud Infrastructure, Linux, Software, Web Apps	http://www.softeam.it	Lecco, Lombardia, Italy	Softeam designs and develops software and applications for mobile devices and also offers IT consulting and outsourcing services.	492,667	1,392				32	1.5		50%		6,395,279			European Union (EU)	Active	1984-06-25	day	1.0	11-50	Mario Balzaretti						https://www.softeam.it/en/privacy-policy
Netalis	https://www.crunchbase.com/organization/netalis	Netalis offers fiber and cloud-based services for agile companies. It is an operator of digital solutions tailored for professionals, companies, and communities. It is a provider of digital solutions resolutely focused on innovation and proximity with its independent professional clients, SMEs, and government institutions. It offers a wide range of services that their customers can order independently from a personalized space or solicit the accompaniment of a specialized consultant to meet a specific need. The company offers its users with backup, collaborate, optical fiber, accommodation, communications, and flat sharing services. The technology partners of the company are TELEHOUSE, tdf, Telia, JUNIPER NETWORKS, and cedexis. Netalis is a France-based company that was founded in 2015 by Nicolas Guillaume.	Cloud Computing, Cloud Infrastructure, Content Delivery Network, SaaS, Software, Telecommunications, Web Hosting	http://www.netalis.fr	Besançon, Franche-Comte, France	Fiber provider and Cloud (SaaS, IaaS) services for agile companies	264,515	1,374		95.17%	-88.89%	0	1.0	0%	100%	0%	6,428,678	-1,138,579	-15.05%	European Union (EU)	Active	2015-01-01	year	1.0	1-10	Nicolas Guillaume						
Cookdown	https://www.crunchbase.com/organization/cookdown	Cookdown extends SCOM solving critical challenges, from Powershell Authoring to Alert tuning. It also integrates SCOM into ServiceNow, allowing SCOM Alerts to automatically raise Incidents, using SCOM data to populate ServiceNow CMDB and leveraging SCOM agents to map complex Business Services in ServiceNow.	Cloud Computing, Cloud Infrastructure, Information Technology, Internet, Software	https://cookdown.com/	Maidenhead, Windsor and Maidenhead, United Kingdom	Cookdown extends SCOM solving critical challenges from Powershell Authoring to Alert tuning.	700,317	1,359	3,598.33	-55.7%	-61.41%	35	1.81	80.94%	91.91%	-8.09%	6,456,661	2,280,414	54.6%		Active	2019-01-01	year		1-10							
Blue Guava	https://www.crunchbase.com/organization/blue-guava		Cloud Infrastructure, Information Technology, Software	https://www.guava.blue/	Budapest, Budapest, Hungary	Blue Guava specializes in services such as content monetization, cloud services, quality assurance, and digital disruption.	1,499,001	1,341		-2.47%		0	1.0	0%	100%	0%	6,487,745	299,610	4.84%	European Union (EU)	Active	2009-01-01	year		11-50							https://www.guava.blue/resources/privacy-policy/
Last.Backend	https://www.crunchbase.com/organization/last-backend	Last.Backend allows automate all operations with deployment for developers and developers team. With unique visualization, API and console tools it provides all necessary tools to create backend application in 5 minutes and deploy it in few click on server or group of servers.	Cloud Infrastructure, Developer Tools, PaaS, SaaS, Software	https://lastbackend.com/	Saint Petersburg, Saint Petersburg City, Russian Federation	Cloud SaaS-platform for the design, development and monitoring of server applications.	96,371	1,340				1	2.0		0%		6,316,882				Active	2015-01-01	year	1.0	1-10	Alexander Kaloshin						https://lastbackend.com/privacy/
Cloud Solutions For Business	https://www.crunchbase.com/organization/cloud-solutions-for-business		Cloud Infrastructure, Information Technology, Telecommunications	https://www.cloudsolutions4biz.com/	Birmingham, Birmingham, United Kingdom	Cloud Solutions For Business offers telecommunications, IT, and cloud services.	1,817,094	1,233				0	1.0		100%		6,578,828				Active											https://www.cloudsolutions4biz.com/privacy-policy
Velobility	https://www.crunchbase.com/organization/velobility	Velobility is providing bike sharing and smart public cycling solutions.	Cloud Infrastructure, Cycling, Public Transportation	http://www.velobility.net/	Cham, Zug, Switzerland	Velobility is providing bike sharing and smart public cycling solutions.	1,878,442	1,207		198.76%		0	1.0	-50%	100%	100%	6,772,626	-1,896,613	-21.88%		Active											
anynines	https://www.crunchbase.com/organization/anynines-enterprise	anynines is a digital transformation company focused on planning, building and operating modern application developer platforms. anynines has years of experience of automating the delivery of enterprise grade platforms based on various technologies.  This comprises platform technologies such as Pivotal Cloud Foundry, Open Source Cloud Foundry, and Kubernetes. Additionally, anynines has outstanding knowledge and products regarding automating databases and other data services. This allows anynines to provide customers with comprehensive developer platforms addressing both the application and data lifecycle.  With professional services including consulting, platform engineering, operations, training, and cloud-native app development, anynines is positioned as a solution provider allowing customers to focus on being successful within their domain.	Cloud Infrastructure, Cloud Management, Consulting, Developer Platform, Information Technology, Operating Systems, Private Cloud, Software, Training, Web Development	https://www.anynines.com	Saarbrücken, Saarland, Germany	anynines is focused on planning, building, and operating modern application developer platforms.	306,521	1,125	77,064.83	329.39%	166.67%	56	2.92	45.82%	26.31%	26.2%	6,709,489	-2,002,509	-22.99%	European Union (EU)	Active	2008-11-01	month	1.0	51-100	Julian Fischer						https://www.anynines.com/data-privacy
Safeo	https://www.crunchbase.com/organization/safeo		Advertising, Cloud Infrastructure, Cyber Security, Digital Marketing, Web Hosting	https://safeo.fr	Neuilly-sur-seine, Ile-de-France, France	Safeo is an IT company that provides cloud infrastructure, data security, website creation, IP telephony and digital marketing services.	1,210,641	1,118		69.91%		0	1.0	0%	100%	0%	6,717,749	-263,108	-3.77%	European Union (EU)	Active				1-10							
