Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Witzenmann Group,https://www.crunchbase.com/organization/witzenmann-group,1854-01-01,year,1001-5000,,https://www.witzenmann-usa.com/en/,"Industrial Automation, Industrial Engineering, Manufacturing, Productivity Tools","Troy, Michigan, United States","Witzenmann Group manufactures metal hoses, expansion joints, metal bellows and automotive components.","281,950",713,,,,8,2,,0%,,"7,584,864",,
Abingdon King Dick,https://www.crunchbase.com/organization/abingdon-king-dick,1856-01-01,year,11-50,"Abingdon King Dick produces engineering tools. Their products include wrenches, socketry, screwdrivers, pliers, torque, live line, storage, tool sets, tethered tools, tool control, and foam insert.",https://www.kingdicktools.co.uk,"Commercial, Industrial, Manufacturing, Productivity Tools","Birmingham, Birmingham, United Kingdom",Abingdon King Dick manufactures engineering tools.,"1,920,359","1,539",,,,0,1,,100%,,"6,112,809",,
Huron Graffenstaden,https://www.crunchbase.com/organization/huron-graffenstaden,1857-01-01,year,51-100,,https://www.huron.fr,"Industrial Design, Industrial Engineering, Machinery Manufacturing, Manufacturing, Productivity Tools","Eschau, Alsace, France",Huron Graffenstaden is a machinery manufacturing company that provides a wide range of CNC turning and milling equipment.,"540,598",258,,-90.66%,133.33%,7,2,93.69%,0%,,"9,323,962","4,945,191",112.94%
Kupferle,https://www.crunchbase.com/organization/kupferle,1857-01-01,year,11-50,,https://hydrants.com,"Industrial, Manufacturing, Productivity Tools, Water, Water Purification","St Louis, Missouri, United States","Kupferle manufactures a wide range of chlorine analyzers, automatic flushing, hydrants, and water quality improvement products.","994,651","1,795",,,,11,3,,0%,,"5,406,497",,
C.H. Hanson,https://www.crunchbase.com/organization/c-h-hanson,1866-01-01,year,251-500,,https://www.chhanson.com/,"Building Material, Machinery Manufacturing, Manufacturing, Productivity Tools","Naperville, Illinois, United States","C.H Hanson manufactures and supplies building materials such as marking machines, steel, stencils, hand tools, metal and machinery goods.","687,145","1,823","4,749.17",-66.94%,"28,100%",0,1,0%,100%,0%,"5,242,533","2,124,987",68.16%
Zurich Insurance Group,https://www.crunchbase.com/organization/zurich-insurance-group,1872-01-01,year,10001+,"The Zurich Insurance Group is a multi-line insurance provider that delivers a wide range of general insurance and life insurance products and services for individuals, small businesses, and mid-sized and large companies, including multinational corporations. It has a global network of subsidiaries and offices in more than 170 countries. The group operates in five regions: North America, Latin America, Europe, Middle-East and Africa, and Asia-Pacific. The Zurich Insurance Group was founded in 1872 and is headquartered in Zurich, Switzerland.",http://www.zurich.com,"Financial Services, Insurance, Productivity Tools","Zürich, Zurich, Switzerland",The Zurich Insurance Group is an insurance company that provides general insurance and life insurance products and services.,"101,479","514,044","457,044.67",13.69%,-53.71%,262,2.12,3.3%,69.63%,5.32%,"178,414","-9,758",-5.19%
Bernzomatic,https://www.crunchbase.com/organization/bernzomatic,1876-01-01,year,101-250,,https://www.bernzomatic.com,"Industrial, Manufacturing, Oil and Gas, Productivity Tools","Columbus, Ohio, United States","Bernzomatic manufactures a wide variety of hand torches, fuel cylinders, utility lighters, welding rods, torch kits, and accessories.","414,879","90,373","77,269",11.01%,-16.62%,321,2.08,-18.32%,54.11%,-32.58%,"585,739","-22,384",-3.68%
Trenois Descamps,https://www.crunchbase.com/organization/groupe-trenois-descamps,1878-01-01,year,501-1000,,https://www.trenois.com,"Building Material, Industrial, Manufacturing, Productivity Tools","Wasquehal, Nord-Pas-de-Calais, France","Trenois Descamps offers hardware products such as furnishing layouts, consumables, PPE protection kits and building/welding tools.","608,719","71,172","69,973.83",-16.58%,-32.55%,547,5.81,44.15%,41.3%,-22.59%,"685,672","95,746",16.23%
SARTORIUS Werkzeuge GmbH & Co. KG,https://www.crunchbase.com/organization/sartorius-werkzeuge-gmbh-co-kg,1879-01-01,year,251-500,,https://www.sartorius-werkzeuge.de,"Hardware, Productivity Tools","Ratingen, Nordrhein-Westfalen, Germany","SARTORIUS Werkzeuge offers cutting tools, clamping technology, measuring technology, operating equipment, and environmental technology.","1,416,990","3,695","34,539.67",-60.41%,158.02%,209,2.26,52.43%,24.65%,-61.66%,"3,877,907","1,612,600",71.19%
Forges de Niaux,https://www.crunchbase.com/organization/forges-de-niaux,1881-01-01,year,101-250,,https://www.forgesdeniaux.com/,"Agriculture, Farming, Manufacturing, Productivity Tools","Niaux, Midi-Pyrenees, France",Forges de Niaux is a manufacturing company that produces a wide variety of disc blades for farming and agriculture sectors.,"1,441,879",,,,,,,,,,,,
IRWIN,https://www.crunchbase.com/organization/irwin,1885-01-01,year,11-50,"IRWIN Industrial Tool Company manufactures and distributes professional grade hand tools and power tool accessories for trade professionals in the United States and internationally. It offers chisels, circular saw blades, clamps, drill bits, fastener drives, hammers, handsaws, impact accessories, levels and squares, linear edges, locking tools, marking tools, pipe wrenches, pliers and adjustable wrenches, screws and bolt extractors, screwdrivers, snips, tape measures, utility knives and blades, worksite products, and vises, as well as taps, dies, and sets.",http://www.irwin.com,"Industrial, Manufacturing, Productivity Tools","Huntersville, North Carolina, United States",IRWIN manufactures and distributes professional grade hand tools.,"219,317","182,473","129,297.67",151.24%,-44.81%,170,2.5,-4.53%,62.6%,7.67%,"365,327","-290,857",-44.33%
Comi Polaris Systems,https://www.crunchbase.com/organization/comi-polaris-systems,1885-01-01,year,101-250,,https://comipolaris.com,"Industrial, Machinery Manufacturing, Manufacturing, Productivity Tools","Charlotte, North Carolina, United States","Comi Polaris Systems offers custom separation technology such as vacuum dryers, filtering centrifuges, and auxiliary process equipment.","955,039",40,,,,521,4,,50%,,"10,689,878",,
Comerio Ercole,https://www.crunchbase.com/organization/comerio-ercole,1885-01-01,year,101-250,,https://www.comercole.it,"Industrial, Machinery Manufacturing, Manufacturing, Productivity Tools","Busto Arsizio, Lombardia, Italy","Comerio Ercole is a manufacturing company that produces equipment and machinery for the non-woven, rubber, and plastic industries.","1,002,445",442,,,,72,4.75,,58.37%,,"8,533,814",,
Bahco,https://www.crunchbase.com/organization/bahco,1886-01-01,year,1001-5000,,https://www.bahco.com/int_en/,"Direct Sales, Manufacturing, Productivity Tools","Cergy-pontoise, Ile-de-France, France","Bahco manufactures productivity hand tools used for industrial cutting, automotive and general industries.","667,342","219,138","419,314.17",19.6%,-37.06%,124,2.4,-10.47%,35.32%,-30.29%,"322,525","-29,064",-8.27%
California Saw & Knife Works,https://www.crunchbase.com/organization/california-saw-knife-works,1886-01-01,year,1-10,"California Saw & Knife Works provides a saw and knife technology package, their services include cutting process analysis, recommendations for design and operating parameters, data analysis, and testing, recommendations, cost, revenue analysis, ongoing revenue building, wood characteristics and cutting energy analysis, lumber size analysis, saw maintenance, cutting forces, tooth design, plate thickness, rotation speed, plate thinness potential, sawing accuracy analysis, food processing knife and blade maintenance, product integrity analysis.",https://calsaw.com,"Consulting, Food Processing, Manufacturing, Product Management, Productivity Tools","Sutherlin, Oregon, United States",California Saw & Knife Works designs and manufactures custom saws and knives.,"875,257",,,,,,,,,,,,
Lecot,https://www.crunchbase.com/organization/lecot,1888-01-01,year,251-500,,https://lecot.be,"E-Commerce, Hardware, Productivity Tools","Heule, West-Vlaanderen, Belgium","Lecot is an online shop that offers a wide range of hardware, fasteners, building tools and personal protective equipment.","271,128","68,627","85,621.17",-45.3%,-67.79%,249,3,-15.01%,44.4%,11.45%,"702,221","247,649",54.48%
Onejoon,https://www.crunchbase.com/organization/onejoon,1888-01-01,year,251-500,,https://www.onejoon.de/en/,"Building Material, Industrial, Machinery Manufacturing, Manufacturing, Productivity Tools","Bovenden, Niedersachsen, Germany","Onejoon is a manufacturing company that produces powders, kilns, furnaces, components, battery materials, coating products, and spare parts.","1,029,874","5,696","2,479.67",131.92%,,14,1.72,72.19%,90.98%,-9.02%,"3,259,759","-1,366,706",-29.54%
Maxitools,https://www.crunchbase.com/organization/maxitools,1890-01-01,year,1-10,,https://www.maxitools.nl/home.php,"E-Commerce, Productivity Tools, Retail","Zwijndrecht, Zuid-Holland, The Netherlands","Maxitools is an internet store that deals with productive products and tools like glue guns, rivet pliers, hammer tackers and staples.","1,865,547",,,,,,,,,,,,
Cleco Production Tools,https://www.crunchbase.com/organization/cleco-production-tools,1894-01-01,year,501-1000,"Cleco Production Tools produces and supplies nut runners and screw drivers, fixtured spindles, impact wrenches, pulse tools, electric torque wrenches, air motors, grinders, sanders and polishers, hand drilling, countersinking and spotfacing, riveting, and accessories. They provide tools for automotive, aerospace, electronics, industrial assembly, agriculture, and petrochemical industries.",https://www.clecotools.com,"Industrial, Manufacturing, Productivity Tools, Wholesale","Lexington, South Carolina, United States",Cleco Production Tools manufactures and delivers assembly solutions.,"814,789","31,583","8,722","1,229.81%",,"1,268",3.33,232.86%,47.21%,-52.79%,"1,153,020","-3,548,491",-75.48%
John Bean Technologies,https://www.crunchbase.com/organization/john-bean-technologies,1894-01-01,year,5001-10000,,https://jbtc.com,"Food Processing, Machinery Manufacturing, Manufacturing, Productivity Tools","Chicago, Illinois, United States",John Bean Technologies designs and manufactures food processing equipment and machinery for the dairy and food industries.,"1,147,555",,,,,,,,,,,,
IHT Timme,https://www.crunchbase.com/organization/iht-timme,1894-01-01,day,11-50,,http://www.ihttimme.de,"E-Commerce, Hardware, Productivity Tools","Stadthagen, Niedersachsen, Germany","IHT Timme is an online shop that provides a wide variety of machine tools, factory equipment, hardware, welding, and industrial products.","1,736,667",,,,,,,,,,,,
American Lawn Mower,https://www.crunchbase.com/organization/american-lawn-mower,1895-01-01,year,,,https://americanlawnmower.com,"E-Commerce, Home and Garden, Manufacturing, Productivity Tools, Shopping","Indianapolis, Indiana, United States","American Lawn Mower is a digital shop that offers a wide range of reel mowers, trimmers, washers, lawn equipment, and accessories.","321,073","17,235","20,220.17",49.8%,441.18%,92,3.21,85.72%,43.68%,-41.16%,"1,646,632","-367,398",-18.24%
Wiese Industries Inc,https://www.crunchbase.com/organization/wiese-industries-inc,1899-01-01,year,,"Wiese Industries is a repairing implements and agricultural tillage tools is  their specialization.Their products  p low shares, moldboards, shins, landsides, chisel spikes, fertiliser v-blades, cultivator tools, and a range of other agricultural related wear parts are among the main components.",https://www.wieseindustries.com,"Agriculture, Farming, Horticulture, Manufacturing, Productivity Tools","Perry, Iowa, United States",Wiese Industries is a manufacturer of farm tillage tools.,"1,072,506",,,,,,,,,,,,
Apexical,https://www.crunchbase.com/organization/apexical,1900-01-01,year,,,https://www.apexical.com,"Manufacturing, Productivity Tools, Textiles","Spartanburg, South Carolina, United States",Apexical is a manufacturer of products for textile industry.,"428,491",,,,,,,,,,,,
YKK Stocko Fasteners,https://www.crunchbase.com/organization/ykk-stocko-fasteners,1901-01-01,year,11-50,"YKK is a partner for snap fasteners, fastening and fastening systems, fashion accessories, and individual processing technology. They develop and manufacture a wide range of different closure systems and accessories for sport and leisure, casual and jeans, workwear, as well as authorities and the field of technical product applications.",https://www.stocko-ykk.de,"Fashion, Manufacturing, Productivity Tools","Wuppertal, Nordrhein-Westfalen, Germany","YKK is a partner for snap fasteners, fastening and fastening systems, fashion accessories and individual processing technology.","921,883",,,,,,,,,,,,
Stiletto Tool Company,https://www.crunchbase.com/organization/stiletto-tool-company,1901-01-01,day,51-100,,http://www.stiletto.com/,"Hardware, Online Portals, Productivity Tools","Brookfield, Wisconsin, United States",Stiletto Tools  is a supplying the tools that built the homes and businesses of early California and manufactured the agricultural company,"1,252,899","14,811","21,478.5",-47.14%,-78.38%,8,1.07,-30.62%,97.19%,18.84%,"1,795,303","588,363",48.75%
LA Grinding,https://www.crunchbase.com/organization/la-grinding,1903-01-01,year,11-50,,https://lagrinding.com/,"Industrial, Machinery Manufacturing, Manufacturing, Paper Manufacturing, Productivity Tools","Burbank, California, United States","LA Grinding is a distribution company that supplies industrial blades, slitters, brake dies, cutters, and accessories for industries.","707,881","1,520",,172.4%,192.42%,193,4,33.33%,0%,,"6,142,655","-1,865,706",-23.3%
MacInnes Tool,https://www.crunchbase.com/organization/macinnes-tool,1903-01-01,year,1-10,,https://www.macto.com,"Manufacturing, Productivity Tools","Rochester, New York, United States",MacInnes Tool has focused on developing and refining precision glass cutting wheels for the glass processing industries.,"904,531",,,,,,,,,,,,
Newell Brands - Tools Business,https://www.crunchbase.com/organization/newell-brands-tools-business,1903-01-01,year,,"Newell Brands - Tools Business is a productivity tools business. Newell Brands - Tools Business also includes the Irwin®, Lenox® and Hilmor® brands.",,Productivity Tools,"Atlanta, Georgia, United States","Newell Brands - Tools Business includes Irwin®, Lenox® and Hilmor® brands.","1,627,164",,,,,,,,,,,,
Reiden Technik,https://www.crunchbase.com/organization/reiden-technik,1904-01-01,year,101-250,,https://reiden.com/,"Industrial, Machinery Manufacturing, Manufacturing, Mechanical Engineering, Product Design, Productivity Tools","Reiden, Luzern, Switzerland","Reiden Technik is a manufacturing company that produces CNC, automation machines, tools, and accessories for the machining industry.","1,206,329","140,492",,178.5%,-17.12%,"1,147",3.68,-45.27%,27.27%,19.97%,"436,478","-399,257",-47.77%
Emanuele Mascherpa,https://www.crunchbase.com/organization/emanuele-mascherpa,1904-01-01,year,101-250,"Emanuele Mascherpa provides components, specialty lubricants, industrial adhesives and sealants, encapsulants, and anti-corrosion products. They offer their clients the continuous research of product lines and customer service in all technical and commercial aspects.",https://www.mascherpa.it,"Commercial, Industrial, Mechanical Engineering, Productivity Tools","Milan, Lombardia, Italy","Emanuele Mascherpa is a trading company acting as the sole agent and distributor for machine tools, tooling instruments, and components.","1,809,497","7,930","4,974",-52.38%,-99.48%,4,1.15,-44.9%,96.29%,49.12%,"2,553,383","903,982",54.81%
G.E. Mathis,https://www.crunchbase.com/organization/ge-mathis,1905-01-01,year,101-250,"G.E. Mathis provides values that have helped to position the company as a significant supplier and national source of long, intricate, and close tolerance fabrications. Their commitment to their customers, employees, and suppliers are to achieve mutual growth and prosperity.",https://www.gemathis.com/,"Laser, Manufacturing, Mining, Productivity Tools","Chicago, Illinois, United States","G.E. Mathis offers laser processing, forming, plate rolling, plasma cutting, metal finishing and welding services for many industries.","496,980",,,,,,,,,,,,
Homberger,https://www.crunchbase.com/organization/homberger,1905-01-01,day,51-100,,http://www.homberger.com,"Industrial Automation, Productivity Tools, Technical Support","Genova, Liguria, Italy","Homberger offers industrial solutions with technical consultancy and products including professional and hand tools, mechanical components.","1,328,548",,,,,,,,,,,,
SAM Outillage,https://www.crunchbase.com/organization/sam-outillage,1906-01-01,year,101-250,,https://www.sam-outillage.fr/,"Automotive, Manufacturing, Productivity Tools","Saint Etienne, Rhone-Alpes, France","Sam Outillage manufacturer of hand tools and smart, connected storage solutions, automotive, dynamometry, and pneumatic tools.","720,043","30,255","13,251.67",192.54%,-68.47%,403,2.03,57.23%,44.78%,-45.26%,"1,186,319","-959,277",-44.71%
Markey Machinery,https://www.crunchbase.com/organization/markey-machinery,1907-01-01,year,11-50,Markey Machinery offers marine deck equipment and application solutions to marine industries.,https://www.markeymachinery.com,"Industrial Engineering, Manufacturing, Marine Technology, Productivity Tools","Seattle, Washington, United States",Markey Machinery offers marine deck equipment and application solutions to marine industries.,"27,027",,,,,,,,,,,,
Salmon Bay Sand & Gravel company,https://www.crunchbase.com/organization/salmon-bay-sand-gravel-company,1907-01-01,year,101-250,,https://sbsg.com,"Building Material, Construction, Productivity Tools","Seattle, Washington, United States","Salmon Bay Sand & Gravel company offers ready mixed concrete, sand, gravel, building tools, and products.","831,308","5,585",,,,"1,574",2.25,,75%,,"3,291,105",,
Manufacturers Supplies,https://www.crunchbase.com/organization/manufacturers-supplies,1907-01-01,year,11-50,,https://www.mfgsup.com/,"Electronics, Industrial, Machinery Manufacturing, Manufacturing, Packaging Services, Productivity Tools, Textiles","Earth City, Missouri, United States","Manufacturers Supplies is an equipment manufacturing company that supplies machinery, productivity tools, and accessories.","1,063,069","23,650",,747.67%,40.2%,143,1.99,-20.42%,34.04%,-31.92%,"1,384,418","-2,978,240",-68.27%
O’Neil Printing,https://www.crunchbase.com/organization/o-neil-printing,1908-01-01,year,101-250,"O’Neil Printing offers an online portal, web-based marketing tools, promotional campaigns, customized direct mailing and printing solutions.",https://oneilprint.com/,"Advertising, E-Commerce, Marketing, Online Portals, Printing, Productivity Tools","Phoenix, Arizona, United States","O’Neil Printing offers an online portal, web-based marketing tools, promotional campaigns, customized direct mailing and printing solutions.","455,760","8,570","8,085.83",171.8%,344.44%,0,1,-55.44%,100%,45.14%,"2,439,323","-1,693,642",-40.98%
Carbox,https://www.crunchbase.com/organization/carbox,1908-01-01,year,,"Carbox have set standards for the interior of cars.They are OEM supplier, they work together with car manufacturers and are committed to  producing the perfect carbox for every car.They maintain social responsibility towards employees, customers, the region and the environment.",https://www.carbox.de/de,"Facilities Support Services, Facility Management, Interior Design, Manufacturing, Product Management, Productivity Tools","Achim, Niedersachsen, Germany","Carbox is a manufacturer of car trunk, and footwell .","603,117","3,189","3,277",-66.67%,"14,000%",282,8.27,582.29%,11.63%,-87.72%,"4,171,647","1,940,177",86.95%
Vitz Federn,https://www.crunchbase.com/organization/vitz-federn,1908-01-01,year,251-500,,https://www.vitz.de,"Industrial, Manufacturing, Productivity Tools","Velbert, Nordrhein-Westfalen, Germany","Vitz Federn manufactures and supplies springs, stamped and bent parts to multiple sectors.","1,723,117",,,,,,,,,,,,
Tajima Tool,https://www.crunchbase.com/organization/tajima-tool,1909-01-01,year,,,https://www.tajimatool.com/,"Manufacturing, Productivity Tools, Wholesale","Torrance, California, United States","Tajima Tool is a manufacturer and distributor of a range of hand tools, measuring tapes, utility knives, saw, LED lights, and scrapers.","266,772","13,138","30,516",288.81%,102.22%,182,5.63,175.32%,34.36%,778.77%,"1,919,306","-2,080,695",-52.02%
Monarch Machine Tool,https://www.crunchbase.com/organization/monarch-machine-tool,1909-01-01,year,1-10,,http://www.monarchmt.com/,"Machinery Manufacturing, Manufacturing, Mechanical Engineering, Productivity Tools","Cortland, New York, United States","Monarch Machine Tool designs and manufactures bridges, gantry, traveling column machines, vertical and horizontal machining center products.","300,272",,,,,,,,,,,,
Konrad Knoblauch,https://www.crunchbase.com/organization/konrad-knoblauch,1909-01-01,year,251-500,,https://www.knoblauch.eu/,"Marketing, Personal Branding, Productivity Tools","Markdorf, Baden-Wurttemberg, Germany","Konrad Knoblauch specializes in developing architectural & outfitting theories for brands, fashion and sports retailers & other businesses.","885,852","1,069",,-94.87%,22.12%,0,1,-45%,100%,175.03%,"6,965,436","5,505,360",377.06%
Unitex LHS,https://www.crunchbase.com/organization/unitex-lhs,1909-01-01,year,,"Unitex LHS  operates  equipment accessories.They offer qualified consulting, training, testing service and repairs.With the areas of trade, service, design, production and special engineering services  all in house, they handle a very wide range of tasks.They also involved in production of load handling equipment and special steel constructions.",http://www.unitex-lhs.de,"Industrial Engineering, Manufacturing, Productivity Tools","Strausberg, Brandenburg, Germany",Unitex LHS is a manufactures of all In-house products.,"1,908,143",,,,,,,,,,,,
ABW Equipment,https://www.crunchbase.com/organization/abw-equipment,1909-01-08,day,1-10,,https://www.abwe.se/,"Catering, Direct Sales, Productivity Tools","Norsborg, Stockholms Lan, Sweden","ABW Equipment provides spare parts, catering equipment and cutting machines.","814,860",,,,,,,,,,,,
Everhard Products,https://www.crunchbase.com/organization/everhard-products,1911-01-01,year,101-250,,https://www.everhard.com,"Hardware, Manufacturing, Productivity Tools","Canton, Ohio, United States","Everhard Products manufacture hand tools and equipment for the tire, roofing, screen, HVACR and metal fabricating industries.","532,653","1,941",,-65.95%,"3,622.22%",335,2.83,144.15%,8.55%,-91.17%,"5,121,690","2,069,105",67.78%
Malvese Equipment,https://www.crunchbase.com/organization/malvese-equipment,1912-01-01,year,11-50,,http://www.malveseequipment.com/,"Automotive, Construction, Industrial Engineering, Logistics, Machinery Manufacturing, Productivity Tools","Hicksville, New York, United States","Malvese Equipment distributes power equipment, hydraulic hoses, adapters, and spare parts for various sectors.","1,214,081",,,,,,,,,,,,
Illston and Robson,https://www.crunchbase.com/organization/illston-and-robson,1913-01-01,year,11-50,,https://www.illstonandrobson.com/,"Industrial, Manufacturing, Product Design, Productivity Tools","Birmingham, Birmingham, United Kingdom","Illston and Robson is a manufacturing company that produces airline couplings, ball joints, and linkages for the automotive industry.","875,634",,,,,,,,,,,,
Gesswein,https://www.crunchbase.com/organization/gesswein-1c2c,1914-01-01,year,101-250,,https://www.gesswein.com,"Manufacturing, Productivity Tools, Wholesale","Bridgeport, Connecticut, United States",Gesswein manufactures and distributes precision tools and equipment for jewelry manufacturing and metalworking industries.,"618,143","33,942","28,569.67",28.39%,-31.32%,318,2.65,-7.97%,57.23%,3.43%,"1,101,162","-150,743",-12.04%
Branick Industries,https://www.crunchbase.com/organization/branick-industries,1917-01-01,year,51-100,,http://www.branick.com,"Automotive, Hardware, Machinery Manufacturing, Manufacturing, Productivity Tools","Fargo, North Dakota, United States","Branick Industries manufactures brake bleeders, curing rings, tire spreaders, nitrogen inflation systems, automotive equipment, and tools.","495,056",405,,-82.38%,,"2,541",3,200%,0%,,"8,703,833","3,952,479",83.19%
Mooney-General Paper,https://www.crunchbase.com/organization/mooney-general-paper,1917-01-01,year,51-100,,http://www.mooneygeneral.com/,"Catering, Food and Beverage, Industrial, Manufacturing, Packaging Services, Paper Manufacturing, Productivity Tools","Hillside, New Jersey, United States","Mooney-General Paper distributes industrial packaging products, equipment, food packaging, catering, safety, and janitorial supplies.","830,362",184,,,,0,1,,100%,,"9,807,872",,
American Lubrication Equipment,https://www.crunchbase.com/organization/american-lubrication-equipment,1918-01-01,year,11-50,,https://www.americanlube.com,"Automotive, Industrial, Oil and Gas, Productivity Tools","Hunt Valley, Maryland, United States","American Lubrication Equipment offers pumps, reels, control handles, grease fittings, equipment, and accessories.","499,069","3,234",,-46.77%,"10,814.29%","1,528",1.3,-13.57%,70.34%,-6.21%,"4,150,307","1,265,996",43.89%
