Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
STACKPATH,https://www.crunchbase.com/organization/stackpath,"StackPath is a cloud platform built at the internet’s edge, providing infrastructure and services physically closer to the source or destination of data than hyperscale cloud service providers. StackPath Edge Compute (including virtual machines and containers), Edge Delivery (including CDN and serverless scripting), and Edge Security (including WAF) solutions run in edge locations strategically deployed in high-density markets and united by a secure global network and a single management system. Customers ranging from Fortune 50 enterprises to one-person startups trust StackPath to give their latency-sensitive workloads and real-time applications the speed, security, and efficiency they require. StackPath was founded in 2015, is headquartered in Dallas, and operates around the world.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Internet, Private Cloud",https://www.stackpath.com/,"Dallas, Texas, United States","Edge computing, edge delivery, & edge security solutions, enabling businesses to build, accelerate, & protect latency-sensitive workloads.","22,543","1,245,319","637,086.5",307.58%,69.28%,"1,102",5.13,39.52%,17.64%,-42.43%,"93,475","-156,613",-62.62%,"Dallas/Fort Worth Metroplex, Southern US",Active,2015-01-01,year,4,251-500,"James Leaverton, Jason Gulledge, Lance Crosby, Ryan Carter",,,3056185,USD,3056185
LambdaTest,https://www.crunchbase.com/organization/lambdatest,"LambdaTest allows users to test public or locally hosted web apps across different browsers, OS, and devices. It empowers developers and testers with a single integrated ecosystem wherein they can perform all their tests confidently.   The company was founded in 2017 and is headquartered in San Francisco, California.","Cloud Infrastructure, Developer Tools, SaaS, Usability Testing",https://www.lambdatest.com,"San Francisco, California, United States","LambdaTest provides software testing, cloud infrastructure, automation platform, and software testing services.","20,256","1,212,250","1,049,400.5",6.43%,-3.25%,476,1.96,3.33%,68.21%,-6.15%,"95,074","-1,390",-1.44%,"San Francisco Bay Area, West Coast, Western US",Active,2017-06-01,month,3,251-500,"Asad Khan, Jay Singh, Mayank Bhola",,,,,
Transcend,https://www.crunchbase.com/organization/transcend,"Transcend is the data privacy infrastructure that makes it simple for companies to give their users control over their personal data. Personal data is disorganized, hard to spot, and stored across many systems. That makes offering data rights—like deleting your data—very hard for companies. Transcend automatically fulfills data subject requests inside companies, across all of their data systems and vendors. Transcend also provides their end-users with a control panel, or “Privacy Center”, hosted at privacy.<company>.com where users can manage their privacy preferences, export their data, or delete it. By making data subject requests painless for companies, Transcend is putting users everywhere in the driver’s seat of their personal data.","Cloud Infrastructure, Compliance, Privacy",https://transcend.io,"San Francisco, California, United States",Transcend is the data privacy infrastructure that makes it simple for companies to give users control over their personal data.,"4,079","1,184,027","1,019,922.33",0.78%,40.73%,"1,762",1.33,-5.52%,82.35%,10.09%,"96,761","2,435",2.58%,"San Francisco Bay Area, West Coast, Western US",Active,2017-01-01,year,3,11-50,"Ben Brook, Ben Buie, Michael Farrell",,,53530,USD,53530
LogicMonitor,https://www.crunchbase.com/organization/logicmonitor,"LogicMonitor®’s SaaS-based unified observability platform, LM Envision, helps ITOps, CloudOps, DevOps, MSPs, and business leaders gain operational visibility into and predictability across the technologies that modern organizations depend on to deliver extraordinary employee and customer experiences. LM Envision seamlessly enables observability across infrastructure, networks, clouds, containers, and applications, empowering companies to focus less on troubleshooting and more on innovation. For more information, visit www.logicmonitor.com or watch this short video: https://www.youtube.com/watch?v=sWmrauqmno0.","Analytics, Cloud Infrastructure, Information Technology, IT Infrastructure, IT Management, SaaS",http://www.logicmonitor.com,"Santa Barbara, California, United States","LogicMonitor provides IT observability and monitoring for physical, virtual, and cloud-based IT infrastructures.","2,400","1,103,977","1,145,983.33",90.44%,0%,"1,263",3.25,-8.76%,45.93%,19.33%,"101,978","-55,791",-35.36%,"West Coast, Western US",Closed,2007-01-01,year,1,1001-5000,Steve Francis,2,,7562561,USD,7562561
HashiCorp,https://www.crunchbase.com/organization/hashicorp,"HashiCorp is an open-source software company based in San Francisco, California. HashiCorp provides open source tools and commercial products that enable developers, operators, and security professionals to provide secure and run distributed application infrastructure. It was founded in 2012 by Mitchell Hashimoto and Armon Dadgar. HashiCorp offers both open source and paid commercial products.","Cloud Infrastructure, Cyber Security, Information Technology, Private Cloud, Software",https://www.hashicorp.com,"San Francisco, California, United States","HashiCorp is a remote-first company that solves development, security, and operations challenges in infrastructure.","9,573","1,040,686","1,328,957.67",-24.31%,9.22%,533,1.44,-5.18%,78.01%,1.21%,"103,056","24,930",31.91%,"San Francisco Bay Area, West Coast, Western US",Active,2012-01-01,year,2,1001-5000,"Armon Dadgar, Mitchell Hashimoto",,,5354914,USD,5354914
Back4app,https://www.crunchbase.com/organization/back-4-app-back4app-servicos-digitais-ltda,Back4App is an open-source backend as a service and helps to speed up and scale app development without managing infrastructure.,"Cloud Infrastructure, Developer Platform, Developer Tools, Information Technology, PaaS, Software",http://www.back4app.com,"Sunnyvale, California, United States",Back4app is a low-code backend to build modern apps,"39,284","946,291","791,214.17",29.57%,146.09%,630,1.62,5.83%,75.58%,0.04%,"114,920","-18,618",-13.94%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2015-01-01,year,3,11-50,"Alysson Melo, Davi Macêdo, George Batschinski",,,,,
BigPanda,https://www.crunchbase.com/organization/bigpanda,"BigPanda's autonomous operations platform helps IT Ops, NOC and DevOps teams detect, investigate, and resolve IT incidents faster and more easily. Powered by Open Box Machine Learning, BigPanda correlates IT noise into insights, automates incident management, and unifies fragmented IT operations. Customers such as Intel, TiVO, Turner Broadcasting, and Workday rely on BigPanda to reduce their operating costs, improve service availability and performance, and de-risk and accelerate their digital transformation initiatives. Founded in 2012, BigPanda is backed by top-tier investors including Sequoia Capital, Mayfield, and Battery Ventures.","Cloud Infrastructure, Developer Platform, Enterprise Software, Information Technology, SaaS",http://bigpanda.io,"Mountain View, California, United States","BigPanda offers a platform that helps IT Ops, NOC, and DevOps teams detect, investigate, and resolve IT incidents faster and more easily.","19,786","845,643","681,693.17",114.23%,49.86%,"1,070",2.77,37.07%,34.95%,-17.71%,"124,366","-82,557",-39.9%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2012-01-01,year,2,251-500,"Assaf Resnick, Elik Eizenberg",,,813986,USD,813986
Ivideon,https://www.crunchbase.com/organization/ivideon,"Ivideon - the world’s only cloud network video surveillance service with 15 data centres located around the world.  With only 5 years in development, Ivideon has now got more than 1,8 million of active users and more than 900 business partners. Ivideon’s Apps for iOS and Google Play have more than 1.5 million downloads with average rating 4.5/5. Ivideon allows managing access to securely stored SSL-encrypted videos by using flexible permission system. Active notification system for any suspicious event: from camera disconnection to detected motion and sound, together with open API and integration with IFTTT and POS systems enhance video surveillance functionality. Ivideon’s Partner Program is a successful recurring revenue model, creating a unique profit sharing opportunity for the distribution and installer partners.","Cloud Infrastructure, Cloud Security, Internet of Things, SaaS, Security, Software, Video, Video Streaming",http://www.ivideon.com,"Costa Mesa, California, United States",Cloud Video Surveillance (VSaaS),"27,370","844,624","757,279.33",8.96%,28.51%,852,2.13,-22.51%,61.8%,19.77%,"125,576","-2,256",-1.76%,"Greater Los Angeles Area, West Coast, Western US",Active,2010-04-01,day,1,101-250,Vladimir Eremeev,4,"59,597",,,
Hedvig,https://www.crunchbase.com/organization/hedvig,"Hedvig, formerly Quexascale is re-architecting software-defined storage. Built by software engineers of the world's largest and most successful distributed systems, Hedvig delivers modern storage for any enterprise compute environment running at any scale. The Hedvig platform is the only software-defined storage solution with true distributed systems DNA, unconstrained by traditional thinking and existing architectures that can't keep pace with scale-out applications and the velocity of change in today's business climate. What makes Hedvig unique? Put simply: Hedvig gets better and smarter as it scales. Hedvig defies conventional wisdom, transforming commodity hardware into the most advanced storage solution available today. Hedvig accelerates data to value by collapsing disparate storage systems into a single platform, creating a virtualized storage pool that provisions storage with a few clicks, scales to petabytes, and runs seamlessly in both private and public clouds.","Cloud Infrastructure, Computer, Data Storage, Enterprise Software, Software",https://www.commvault.com/software-defined-storage,"Santa Clara, California, United States",Hedvig delivers modern storage for any enterprise compute environment running at any scale.,"21,723","746,104","562,824.83",100.98%,-12.24%,"1,147",5.37,25.78%,47.6%,-1.14%,"136,164","-79,867",-36.97%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2012-01-01,year,2,51-100,"Avinash Lakshman, Srinivas Lakshman",,,,,
IronWiFi,https://www.crunchbase.com/organization/ironwifi,Developer and Provider of Managed Authentication Services,"Cloud Infrastructure, Cloud Security, Network Security, Wireless",https://www.ironwifi.com,"Orlando, Florida, United States",Developer and Provider of Managed RADIUS and Captive Portal Authentication Services,"334,163","733,105","278,378.33",212.69%,-18.76%,"1,498",4.94,11%,15.77%,-8.79%,"133,193","-147,815",-52.6%,"East Coast, Southern US",Active,2014-07-01,day,1,1-10,Martin Benuska,,,95889,USD,95889
Anvil App Works,https://www.crunchbase.com/organization/anvil-app-works,,"Cloud Infrastructure, Information Technology, Software",https://www.anvilappworks.com/,"Plymouth, Minnesota, United States",Anvil App Works is a customizable cloud-based technology company.,"360,602","713,247",,,,546,2.37,,31.41%,,"140,801",,,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",Active,,,,,,,,,,
VyOS,https://www.crunchbase.com/organization/vyos,,"Cloud Infrastructure, Data Center, Network Hardware, Network Security, Software",https://www.vyos.io/,"Lewes, Delaware, United States","VyOS is a Linux-based network operating system that provides software-based network routing, firewall, and VPN functionality.","203,522","680,897","203,148.67",263.54%,-54.3%,202,2.33,15.85%,43.44%,-36.44%,"145,520","-200,907",-57.99%,"East Coast, Southern US",Active,2020-07-31,day,4,11-50,"Christian Poessinger, Daniil Baturin, Kim Hagen, Yuriy Andamasov",,,,,
BlockCypher,https://www.crunchbase.com/organization/blockcypher,"BlockCypher is a cloud-optimized platform powering blockchain applications reliably and at-scale. BlockCypher's web services are blockchain agnostic and greatly reduce the complexity of building applications that run on multiple blockchains. Easily build, run and future proof blockchain applications on BlockCypher's infrastructure.","Bitcoin, Cloud Infrastructure, Software",http://www.blockcypher.com/,"Redwood City, California, United States",BlockCypher is a cloud-optimized platform powering blockchain applications reliably and at-scale.,"32,118","627,119","665,521",-16.65%,73.09%,791,4.55,41.04%,30.15%,-24.79%,"149,047","26,114",21.24%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2014-01-01,year,2,11-50,"Catheryne Nicholson, Matthieu Riou",,,,,
ThousandEyes,https://www.crunchbase.com/organization/thousandeyes,"ThousandEyes empowers businesses to see, understand and improve connected experiences everywhere. The ThousandEyes cloud platform offers unmatched vantage points throughout the global Internet and provides immediate visibility into experience for every user and application over any network, so companies can deliver superior digital experiences, modernize their enterprise WAN, and successfully migrate to the cloud. ThousandEyes is central to the global operations of the world’s largest and fastest growing brands, including Comcast, eBay, HP, 100+ of the Global 2000, 60+ of the Fortune 500, 5 of the 6 top US banks, and 20 of the 25 top SaaS companies.","Cloud Computing, Cloud Infrastructure, Enterprise Software, SaaS, Software",http://www.thousandeyes.com,"San Francisco, California, United States","ThousandEyes empowers businesses to see, understand, and improve the experience for every user and every application over any network.","4,855","580,484","488,910.67",71.41%,2.61%,668,2.13,-13.92%,65.93%,-3.63%,"163,447","-67,062",-29.09%,"San Francisco Bay Area, West Coast, Western US",Active,2010-01-02,day,2,501-1000,"Mohit Lad, Ricardo Oliveira",,,,,
